recommendation_id,Matnr,Werks,material_description,criticality,demand_pattern,consumptions_12m,lead_time_days,current_rop,recommended_rop,current_safety_stock,recommended_safety_stock,current_max_stock,recommended_max_stock,recommendation_type,reason,status,created_on
REC-000012,000000000030000001,1000,Mill Liner 10/8 METSO,IMPACT,ON_DEMAND,2,23,0.000,4.100,0.000,3.100,0.000,8.000,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 4.1 and a maximum of 8.,APPROVED,2026-05-10
REC-000013,000000000010000007,3000,Level Radar Transmitter HD METSO,IMPACT,INTERMITTENT,6,56,18.973,10.800,11.696,6.700,18.973,17.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 18 is below the current reorder point 18.973. At the IMPACT service level of 95% and a 56-day lead time, the reorder point should be 10.8.",APPROVED,2026-06-18
REC-000014,000000000010000008,4000,PLC Digital Output Card 6/4 KSB,CRITICAL,INTERMITTENT,6,199,34.269,20.700,12.583,7.600,34.269,26.700,ROP_MAX_SAFETY_STOCK,Stock on hand 42 exceeds the current maximum 34.269. Consumption of 2.0 per month supports a maximum of 26.7.,REJECTED,2026-09-02
REC-000015,000000000080000002,3000,Pressure Transmitter Assembly TYPE A,IMPACT,INTERMITTENT,2,36,4.546,7.000,3.241,5.000,10.283,12.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.7 per month over 24 months with a 36-day lead time gives a reorder point of 7 against the current 4.546.,PROPOSED,2026-05-25
REC-000016,000000000080000003,4000,Ventilation Fan Motor TYPE B SEW,IMPACT,INTERMITTENT,6,58,10.469,10.600,6.395,6.500,25.946,17.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.2 per month over 24 months with a 58-day lead time gives a reorder point of 10.6 against the current 10.469.,APPROVED,2026-08-25
REC-000017,000000000010000009,3000,Conveyor Drive Motor TYPE A ABB,CRITICAL,INTERMITTENT,3,176,4.979,4.300,2.750,2.400,8.375,5.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 4.979. At the CRITICAL service level of 98% and a 176-day lead time, the reorder point should be 4.3.",PROPOSED,2026-08-29
REC-000018,000000000030000002,3000,Thickener Rake Drive Gearbox 150MM FLSM,IMPACT,ON_DEMAND,2,10,0.000,1.800,0.000,1.500,0.000,4.700,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 1.8 and a maximum of 4.7.,HELD,2026-05-24
REC-000019,000000000010000011,4000,Soft Starter Power Module 10/8,IMPACT,REGULAR,11,12,36.305,22.200,13.585,8.300,180.072,128.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 32 is below the current reorder point 36.305. At the IMPACT service level of 95% and a 12-day lead time, the reorder point should be 22.2.",REJECTED,2026-08-03
REC-000020,000000000010000012,3000,Gland Packing Seal Ring 10/8 SEW,IMPACT,INTERMITTENT,7,44,2.728,2.100,1.863,1.400,2.728,3.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 2.728. At the IMPACT service level of 95% and a 44-day lead time, the reorder point should be 2.1.",REJECTED,2026-07-26
REC-000021,000000000010000012,2000,Gland Packing Seal Ring 10/8 SEW,IMPACT,INTERMITTENT,5,44,5.922,3.600,4.049,2.500,5.922,6.000,ROP_MAX_SAFETY_STOCK,Stock on hand 9 exceeds the current maximum 5.922. Consumption of 0.8 per month supports a maximum of 6.,REJECTED,2026-07-25
REC-000022,000000000010000013,4000,Pump Impeller TYPE A KSB,NORMAL,INTERMITTENT,5,33,3.568,2.100,2.183,1.300,5.025,4.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 33-day lead time gives a reorder point of 2.1 against the current 3.568.,APPROVED,2026-05-30
REC-000023,000000000010000015,4000,Conveyor Idler Roller Set 250KW SANDVIK,INSURANCE,REGULAR,12,60,109.923,73.800,23.353,15.700,196.328,162.200,ROP_MAX_SAFETY_STOCK,Regular consumption of 29.5 per month over 24 months with a 60-day lead time gives a reorder point of 73.8 against the current 109.923.,PROPOSED,2026-05-24
REC-000024,000000000010000015,1000,Conveyor Idler Roller Set 250KW SANDVIK,INSURANCE,REGULAR,11,60,108.875,79.600,19.264,14.100,197.807,179.200,ROP_MAX_SAFETY_STOCK,Regular consumption of 33.2 per month over 24 months with a 60-day lead time gives a reorder point of 79.6 against the current 108.875.,APPROVED,2026-05-20
REC-000025,000000000010000016,2000,Level Radar Transmitter 55KW SEW,IMPACT,REGULAR,11,13,29.656,22.000,11.605,8.600,201.976,115.900,ROP_MAX_SAFETY_STOCK,Regular consumption of 31.3 per month over 24 months with a 13-day lead time gives a reorder point of 22 against the current 29.656.,PROPOSED,2026-07-29
REC-000026,000000000010000018,2000,Conveyor Idler Roller Set TYPE B ABB,IMPACT,SLOW,1,52,4.066,2.500,2.906,1.800,5.837,3.800,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 5.837. Consumption of 0.4 per month supports a maximum of 3.8.,APPROVED,2026-06-07
REC-000027,000000000010000019,3000,Crusher Main Shaft Bearing 55KW FLSM,IMPACT,SLOW,2,17,1.375,1.200,1.119,1.000,3.479,2.500,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.4 per month over 24 months with a 17-day lead time gives a reorder point of 1.2 against the current 1.375.,APPROVED,2026-05-19
REC-000028,000000000010000020,3000,Slurry Pump Mechanical Seal 250MM KSB,CRITICAL,INTERMITTENT,3,91,15.160,15.100,8.911,8.900,35.686,21.400,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.1 per month over 24 months with a 91-day lead time gives a reorder point of 15.1 against the current 15.16.,APPROVED,2026-07-23
REC-000029,000000000010000021,1000,Ball Mill Shell Liner Plate 6/4 SANDVIK,IMPACT,REGULAR,12,11,7.110,6.600,2.466,2.300,55.470,42.100,ROP_MAX_SAFETY_STOCK,Regular consumption of 11.8 per month over 24 months with a 11-day lead time gives a reorder point of 6.6 against the current 7.11.,APPROVED,2026-05-31
REC-000030,000000000090000000,4000,Pressure Transmitter Assembly 110KW,OBSOLETE,NO_DEMAND,0,37,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,APPROVED,2026-08-19
REC-000031,000000000010000022,4000,Thickener Rake Seal Kit 150MM KSB,IMPACT,REGULAR,12,33,38.743,56.200,10.744,15.600,248.448,168.400,ROP_MAX_SAFETY_STOCK,Regular consumption of 37.4 per month over 24 months with a 33-day lead time gives a reorder point of 56.2 against the current 38.743.,APPROVED,2026-07-07
REC-000032,000000000010000023,3000,Flow Meter Sensor Head 8/6 ABB,NORMAL,INTERMITTENT,5,25,6.199,3.900,3.508,2.200,17.605,10.200,ROP_MAX_SAFETY_STOCK,Stock on hand 18 exceeds the current maximum 17.605. Consumption of 2.1 per month supports a maximum of 10.2.,HELD,2026-06-26
REC-000033,000000000080000004,2000,Conveyor Drive Motor 150MM SEW,CRITICAL,INTERMITTENT,8,148,31.769,19.200,16.362,9.900,36.800,24.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 21 is below the current reorder point 31.769. At the CRITICAL service level of 98% and a 148-day lead time, the reorder point should be 19.2.",APPROVED,2026-08-27
REC-000034,000000000010000025,2000,Slurry Density Transmitter 150MM SANDVIK,INSURANCE,REGULAR,10,55,40.655,68.900,6.961,11.800,230.289,163.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 31.6 per month over 24 months with a 55-day lead time gives a reorder point of 68.9 against the current 40.655.,APPROVED,2026-05-10
REC-000035,000000000010000026,2000,Hydraulic Power Pack 200MM SANDVIK,NORMAL,SLOW,2,48,1.762,1.800,1.095,1.100,3.864,3.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 1.762. At the NORMAL service level of 85% and a 48-day lead time, the reorder point should be 1.8.",APPROVED,2026-08-11
REC-000036,000000000010000026,1000,Hydraulic Power Pack 200MM SANDVIK,NORMAL,SLOW,2,48,0.409,0.500,0.301,0.400,0.676,0.800,ROP_MAX_SAFETY_STOCK,Stock on hand 1 exceeds the current maximum 0.676. Consumption of 0.1 per month supports a maximum of 0.8.,APPROVED,2026-06-28
REC-000037,000000000080000005,4000,Centrifugal Pump Casing 150MM SANDVIK,NORMAL,INTERMITTENT,6,33,2.199,2.100,1.243,1.200,7.436,4.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 2 is below the current reorder point 2.199. At the NORMAL service level of 85% and a 33-day lead time, the reorder point should be 2.1.",HELD,2026-07-28
REC-000038,000000000080000005,2000,Centrifugal Pump Casing 150MM SANDVIK,NORMAL,INTERMITTENT,3,33,3.439,3.600,2.114,2.200,11.824,7.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 33-day lead time gives a reorder point of 3.6 against the current 3.439.,PROPOSED,2026-08-07
REC-000039,000000000010000028,2000,Pressure Transmitter Assembly HD ABB,IMPACT,INTERMITTENT,4,57,9.758,6.800,6.469,4.500,15.344,10.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 9.758. At the IMPACT service level of 95% and a 57-day lead time, the reorder point should be 6.8.",REJECTED,2026-08-29
REC-000040,000000000010000028,4000,Pressure Transmitter Assembly HD ABB,IMPACT,INTERMITTENT,8,57,6.333,7.000,3.650,4.000,9.407,11.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.6 per month over 24 months with a 57-day lead time gives a reorder point of 7 against the current 6.333.,HELD,2026-05-30
REC-000041,000000000010000029,3000,Thickener Rake Seal Kit 8/6 KSB,INSURANCE,REGULAR,12,101,30.583,32.100,4.468,4.700,92.359,56.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 26 is below the current reorder point 30.583. At the INSURANCE service level of 90% and a 101-day lead time, the reorder point should be 32.1.",HELD,2026-08-23
REC-000042,000000000010000029,2000,Thickener Rake Seal Kit 8/6 KSB,INSURANCE,REGULAR,12,101,134.725,128.700,23.771,22.700,332.290,224.600,ROP_MAX_SAFETY_STOCK,Regular consumption of 32.0 per month over 24 months with a 101-day lead time gives a reorder point of 128.7 against the current 134.725.,APPROVED,2026-06-16
REC-000043,000000000010000030,4000,Hydraulic Pump Assembly 200MM FLSM,IMPACT,REGULAR,9,26,15.326,37.800,4.699,11.600,121.345,129.700,ROP_MAX_SAFETY_STOCK,Regular consumption of 30.6 per month over 24 months with a 26-day lead time gives a reorder point of 37.8 against the current 15.326.,APPROVED,2026-06-01
REC-000044,000000000010000032,4000,Thickener Rake Drive Gearbox 200MM FLSM,IMPACT,INTERMITTENT,3,51,4.305,3.700,2.998,2.600,4.684,5.700,ROP_MAX_SAFETY_STOCK,Stock on hand 5 exceeds the current maximum 4.684. Consumption of 0.7 per month supports a maximum of 5.7.,HELD,2026-05-19
REC-000045,000000000010000033,1000,Spherical Roller Bearing 10/8 SANDVIK,CRITICAL,INTERMITTENT,0,57,13.012,8.300,8.143,5.200,20.514,13.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 13.012. At the CRITICAL service level of 98% and a 57-day lead time, the reorder point should be 8.3.",APPROVED,2026-09-02
REC-000046,000000000010000034,1000,Hydraulic Power Pack 200MM METSO,INSURANCE,INTERMITTENT,4,185,6.612,10.700,2.836,4.600,16.402,13.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 6.612. At the INSURANCE service level of 90% and a 185-day lead time, the reorder point should be 10.7.",APPROVED,2026-07-31
REC-000047,000000000080000006,2000,Mill Lube Pump Motor HD SEW,CRITICAL,INTERMITTENT,4,113,6.064,8.600,3.667,5.200,19.158,11.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.9 per month over 24 months with a 113-day lead time gives a reorder point of 8.6 against the current 6.064.,PROPOSED,2026-06-14
REC-000048,000000000010000036,3000,Screen Exciter Bearing 10/8 SIEMENS,NORMAL,INTERMITTENT,5,22,1.739,1.300,1.096,0.800,5.053,3.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.739. At the NORMAL service level of 85% and a 22-day lead time, the reorder point should be 1.3.",APPROVED,2026-08-01
REC-000049,000000000010000036,2000,Screen Exciter Bearing 10/8 SIEMENS,NORMAL,INTERMITTENT,7,22,1.257,2.700,0.729,1.600,12.324,7.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.257. At the NORMAL service level of 85% and a 22-day lead time, the reorder point should be 2.7.",APPROVED,2026-05-24
REC-000050,000000000010000037,1000,Gearbox Bearing TYPE B SIEMENS,NORMAL,INTERMITTENT,4,27,4.239,3.000,2.509,1.800,5.793,7.100,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 5.793. Consumption of 1.4 per month supports a maximum of 7.1.,PROPOSED,2026-05-14
REC-000051,000000000090000001,1000,Vertical Sump Pump Column 200MM WEIR,OBSOLETE,NO_DEMAND,0,21,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,APPROVED,2026-07-07
REC-000052,000000000010000038,3000,Slurry Density Transmitter 8/6 FLSM,NORMAL,REGULAR,12,25,23.885,25.000,5.652,5.900,71.440,94.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 23.2 per month over 24 months with a 25-day lead time gives a reorder point of 25 against the current 23.885.,APPROVED,2026-07-02
REC-000053,000000000080000007,1000,Ball Mill Shell Liner Plate 200MM KSB,CRITICAL,INTERMITTENT,6,132,21.434,14.100,11.526,7.600,29.240,18.600,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 132-day lead time gives a reorder point of 14.1 against the current 21.434.,PROPOSED,2026-08-24
REC-000054,000000000010000040,1000,Level Radar Transmitter 8/6 SEW,IMPACT,INTERMITTENT,5,15,1.195,1.700,0.901,1.300,4.989,4.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 15-day lead time gives a reorder point of 1.7 against the current 1.195.,REJECTED,2026-07-19
REC-000055,000000000010000041,4000,Slurry Pump Mechanical Seal 6/4 FLSM,CRITICAL,INTERMITTENT,4,50,10.197,6.100,7.482,4.500,10.197,9.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 7 is below the current reorder point 10.197. At the CRITICAL service level of 98% and a 50-day lead time, the reorder point should be 6.1.",APPROVED,2026-06-13
REC-000056,000000000030000006,2000,Hydraulic Power Pack 110KW SKF,CRITICAL,ON_DEMAND,0,68,0.000,4.400,0.000,3.100,0.000,6.200,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 4.4 and a maximum of 6.2.,APPROVED,2026-09-02
REC-000057,000000000080000008,4000,PLC Digital Output Card DN150 SIEMENS,NORMAL,INTERMITTENT,3,43,0.906,1.500,0.524,0.900,4.763,2.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 0.906. At the NORMAL service level of 85% and a 43-day lead time, the reorder point should be 1.5.",APPROVED,2026-07-11
REC-000058,000000000080000009,1000,Ball Mill Gearbox Assembly 10/8 WEIR,IMPACT,INTERMITTENT,5,52,4.964,5.300,3.182,3.400,9.459,8.700,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.1 per month over 24 months with a 52-day lead time gives a reorder point of 5.3 against the current 4.964.,APPROVED,2026-06-06
REC-000059,000000000080000009,4000,Ball Mill Gearbox Assembly 10/8 WEIR,IMPACT,INTERMITTENT,5,52,9.901,6.400,6.388,4.100,11.227,10.400,ROP_MAX_SAFETY_STOCK,Stock on hand 14 exceeds the current maximum 11.227. Consumption of 1.3 per month supports a maximum of 10.4.,PROPOSED,2026-08-14
REC-000060,000000000080000010,3000,Variable Speed Drive Unit HD FLSM,IMPACT,INTERMITTENT,6,25,4.705,4.600,3.397,3.300,8.541,9.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 4.705. At the IMPACT service level of 95% and a 25-day lead time, the reorder point should be 4.6.",PROPOSED,2026-09-01
REC-000061,000000000030000007,1000,Thickener Rake Seal Kit 110KW SIEMENS,CRITICAL,ON_DEMAND,3,81,0.000,14.200,0.000,9.200,0.000,19.800,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 14.2 and a maximum of 19.8.,APPROVED,2026-07-01
REC-000062,000000000010000043,1000,Crusher Main Shaft Bearing HD FLSM,NORMAL,INTERMITTENT,5,25,2.086,3.600,1.288,2.200,14.689,8.600,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.7 per month over 24 months with a 25-day lead time gives a reorder point of 3.6 against the current 2.086.,PROPOSED,2026-07-10
REC-000063,000000000010000043,4000,Crusher Main Shaft Bearing HD FLSM,NORMAL,INTERMITTENT,5,25,1.537,2.200,0.913,1.300,6.306,5.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.0 per month over 24 months with a 25-day lead time gives a reorder point of 2.2 against the current 1.537.,APPROVED,2026-05-30
REC-000064,000000000010000044,3000,Gland Packing Seal Ring TYPE A WEIR,NORMAL,SLOW,3,32,1.520,1.000,1.113,0.700,2.625,1.800,ROP_MAX_SAFETY_STOCK,Stock on hand 3 exceeds the current maximum 2.625. Consumption of 0.2 per month supports a maximum of 1.8.,PROPOSED,2026-08-06
REC-000065,000000000010000045,4000,Crusher Hydroset Cylinder 10/8 SKF,IMPACT,REGULAR,11,13,13.570,15.500,5.066,5.800,85.261,83.400,ROP_MAX_SAFETY_STOCK,Regular consumption of 22.6 per month over 24 months with a 13-day lead time gives a reorder point of 15.5 against the current 13.57.,APPROVED,2026-07-10
REC-000066,000000000080000011,2000,Cyclone Apex Liner TYPE A SANDVIK,IMPACT,INTERMITTENT,6,19,2.400,3.300,1.752,2.400,11.760,7.500,ROP_MAX_SAFETY_STOCK,Stock on hand 12 exceeds the current maximum 11.76. Consumption of 1.4 per month supports a maximum of 7.5.,REJECTED,2026-08-04
REC-000067,000000000080000012,3000,Hydraulic Power Pack TYPE B ABB,CRITICAL,INTERMITTENT,5,31,4.607,4.700,3.357,3.400,10.894,8.400,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 31-day lead time gives a reorder point of 4.7 against the current 4.607.,APPROVED,2026-07-03
REC-000068,000000000010000048,4000,MCC Feeder Circuit Breaker 200MM METSO,NORMAL,REGULAR,11,18,24.494,16.200,6.446,4.300,99.508,76.600,ROP_MAX_SAFETY_STOCK,Regular consumption of 20.1 per month over 24 months with a 18-day lead time gives a reorder point of 16.2 against the current 24.494.,PROPOSED,2026-08-02
REC-000069,000000000080000013,3000,Gearbox Bearing HD SANDVIK,IMPACT,INTERMITTENT,6,14,0.885,1.400,0.677,1.100,3.672,3.500,ROP_MAX_SAFETY_STOCK,Stock on hand 4 exceeds the current maximum 3.672. Consumption of 0.7 per month supports a maximum of 3.5.,APPROVED,2026-05-11
REC-000070,000000000010000049,3000,PLC Digital Output Card 10/8 KSB,IMPACT,REGULAR,11,56,78.369,86.100,19.320,21.200,136.673,192.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 12 is below the current reorder point 78.369. At the IMPACT service level of 95% and a 56-day lead time, the reorder point should be 86.1.",HELD,2026-07-25
REC-000071,000000000010000049,1000,PLC Digital Output Card 10/8 KSB,IMPACT,REGULAR,12,56,41.606,54.100,10.376,13.500,156.346,120.300,ROP_MAX_SAFETY_STOCK,Regular consumption of 22.1 per month over 24 months with a 56-day lead time gives a reorder point of 54.1 against the current 41.606.,PROPOSED,2026-08-20
REC-000072,000000000010000050,2000,Crusher Hydroset Cylinder 55KW SIEMENS,CRITICAL,INTERMITTENT,0,75,3.165,5.000,1.919,3.000,11.825,7.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 3.165. At the CRITICAL service level of 98% and a 75-day lead time, the reorder point should be 5.",PROPOSED,2026-05-28
REC-000073,000000000010000050,4000,Crusher Hydroset Cylinder 55KW SIEMENS,CRITICAL,INTERMITTENT,0,75,11.157,8.100,7.906,5.700,12.866,11.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 11.157. At the CRITICAL service level of 98% and a 75-day lead time, the reorder point should be 8.1.",REJECTED,2026-08-06
REC-000074,000000000010000052,3000,PLC Digital Output Card 6/4 METSO,CRITICAL,INTERMITTENT,4,174,13.761,14.500,7.010,7.400,25.632,18.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 174-day lead time gives a reorder point of 14.5 against the current 13.761.,PROPOSED,2026-08-27
REC-000075,000000000010000053,1000,Mill Lube Pump Motor 6/4 METSO,INSURANCE,REGULAR,10,34,27.092,51.500,5.294,10.100,164.840,162.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 37.1 per month over 24 months with a 34-day lead time gives a reorder point of 51.5 against the current 27.092.,REJECTED,2026-08-15
REC-000076,000000000010000054,1000,Apron Feeder Gear Reducer 8/6 MULTOTEC,NORMAL,INTERMITTENT,3,23,1.051,2.100,0.764,1.500,7.458,4.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 23-day lead time gives a reorder point of 2.1 against the current 1.051.,PROPOSED,2026-06-08
REC-000077,000000000010000055,3000,Apron Feeder Gear Reducer TYPE A SKF,NORMAL,INTERMITTENT,4,54,2.474,2.400,1.470,1.400,5.824,4.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 2.474. At the NORMAL service level of 85% and a 54-day lead time, the reorder point should be 2.4.",HELD,2026-08-31
REC-000078,000000000010000057,1000,Screen Exciter Bearing 8/6 KSB,NORMAL,SLOW,3,47,1.408,0.800,0.879,0.500,1.657,1.400,ROP_MAX_SAFETY_STOCK,Stock on hand 2 exceeds the current maximum 1.657. Consumption of 0.2 per month supports a maximum of 1.4.,APPROVED,2026-08-09
REC-000079,000000000010000058,4000,Flow Meter Sensor Head HD METSO,NORMAL,SLOW,6,17,0.780,0.600,0.504,0.400,2.875,1.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 0.78. At the NORMAL service level of 85% and a 17-day lead time, the reorder point should be 0.6.",APPROVED,2026-08-30
REC-000080,000000000010000059,3000,Pump Impeller 150MM WEIR,INSURANCE,INTERMITTENT,8,230,12.146,11.200,3.919,3.600,21.674,14.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 12 is below the current reorder point 12.146. At the INSURANCE service level of 90% and a 230-day lead time, the reorder point should be 11.2.",APPROVED,2026-08-09
REC-000081,000000000010000060,2000,Hydraulic Pump Assembly 55KW KSB,NORMAL,REGULAR,10,19,17.080,26.900,4.063,6.400,126.018,125.500,ROP_MAX_SAFETY_STOCK,Regular consumption of 32.9 per month over 24 months with a 19-day lead time gives a reorder point of 26.9 against the current 17.08.,PROPOSED,2026-08-30
REC-000082,000000000010000060,4000,Hydraulic Pump Assembly 55KW KSB,NORMAL,REGULAR,12,19,31.923,22.600,6.801,4.800,105.333,108.000,ROP_MAX_SAFETY_STOCK,Regular consumption of 28.5 per month over 24 months with a 19-day lead time gives a reorder point of 22.6 against the current 31.923.,APPROVED,2026-06-25
REC-000083,000000000010000061,3000,Vertical Sump Pump Column 6/4 KSB,IMPACT,INTERMITTENT,8,60,8.946,6.300,5.369,3.800,8.946,10.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 8 is below the current reorder point 8.946. At the IMPACT service level of 95% and a 60-day lead time, the reorder point should be 6.3.",REJECTED,2026-06-12
REC-000084,000000000010000062,3000,Ball Mill Trunnion Bearing 55KW SIEMENS,IMPACT,SLOW,1,57,1.698,1.000,1.298,0.800,2.318,1.400,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.1 per month over 24 months with a 57-day lead time gives a reorder point of 1 against the current 1.698.,PROPOSED,2026-08-15
