attestation_id,session_id,Matnr,Werks,quantity,condition,fault_category,repairable,reason,user,timestamp,evidence_reference
ATT-000053,SESS-000820,000000000080000064,1000,1.000,"Shaft journal grooved, runout beyond limit",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-06,EVD-000053
ATT-000054,SESS-000821,000000000080000065,1000,1.000,Casing wear through at discharge throat,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-11,EVD-000054
ATT-000055,SESS-000822,000000000080000065,4000,1.000,Stator winding insulation resistance failed at 500V,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-12,EVD-000055
ATT-000056,SESS-000823,000000000080000066,1000,1.000,Casing wear through at discharge throat,CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-04,EVD-000056
ATT-000057,SESS-000824,000000000080000067,4000,1.000,Stator winding insulation resistance failed at 500V,CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-17,EVD-000057
ATT-000058,SESS-000825,000000000080000068,1000,1.000,"Seal faces scored, leaking under load",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-30,EVD-000058
ATT-000059,SESS-000826,000000000080000068,4000,1.000,"Seal faces scored, leaking under load",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-07,EVD-000059
ATT-000060,SESS-000827,000000000080000069,2000,1.000,"Input pinion tooth chipping, backlash high",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-04,EVD-000060
ATT-000061,SESS-000828,000000000080000069,1000,1.000,"Outer race spalling, radial play beyond limit",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-28,EVD-000061
ATT-000062,SESS-000829,000000000080000070,2000,1.000,"Seal faces scored, leaking under load",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-01,EVD-000062
ATT-000063,SESS-000830,000000000080000071,3000,1.000,"Shaft journal grooved, runout beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-11,EVD-000063
ATT-000064,SESS-000831,000000000080000071,1000,1.000,Stator winding insulation resistance failed at 500V,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-21,EVD-000064
ATT-000065,SESS-000833,000000000080000073,4000,1.000,"Input pinion tooth chipping, backlash high",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-07,EVD-000065
ATT-000066,SESS-000834,000000000080000074,1000,1.000,"Input pinion tooth chipping, backlash high",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-20,EVD-000066
ATT-000067,SESS-000835,000000000080000075,4000,1.000,"Impeller vanes eroded, 30 percent material loss",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-20,EVD-000067
ATT-000068,SESS-000836,000000000080000076,1000,1.000,"Outer race spalling, radial play beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-24,EVD-000068
ATT-000069,SESS-000837,000000000080000077,2000,1.000,"Shaft journal grooved, runout beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-20,EVD-000069
ATT-000070,SESS-000838,000000000080000079,2000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-02-24,EVD-000070
ATT-000071,SESS-000840,000000000080000080,4000,1.000,Casing wear through at discharge throat,CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-27,EVD-000071
ATT-000072,SESS-000842,000000000080000081,3000,1.000,"Seal faces scored, leaking under load",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-27,EVD-000072
ATT-000073,SESS-000843,000000000080000082,4000,1.000,"Seal faces scored, leaking under load",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-02-18,EVD-000073
ATT-000074,SESS-000845,000000000080000083,3000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-25,EVD-000074
ATT-000075,SESS-000846,000000000080000084,4000,1.000,Stator winding insulation resistance failed at 500V,CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-05,EVD-000075
ATT-000076,SESS-000847,000000000080000085,3000,1.000,Stator winding insulation resistance failed at 500V,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-22,EVD-000076
ATT-000077,SESS-000848,000000000080000086,1000,1.000,"Input pinion tooth chipping, backlash high",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-10-11,EVD-000077
ATT-000078,SESS-000849,000000000080000087,3000,1.000,"Seal faces scored, leaking under load",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-22,EVD-000078
ATT-000079,SESS-000850,000000000080000088,1000,1.000,Casing wear through at discharge throat,ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-27,EVD-000079
ATT-000080,SESS-000851,000000000080000089,1000,1.000,Casing wear through at discharge throat,ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-09-02,EVD-000080
ATT-000081,SESS-000852,000000000080000090,3000,1.000,"Seal faces scored, leaking under load",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-15,EVD-000081
ATT-000082,SESS-000853,000000000080000091,4000,1.000,"Impeller vanes eroded, 30 percent material loss",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-06-11,EVD-000082
ATT-000083,SESS-000854,000000000080000092,3000,1.000,"Shaft journal grooved, runout beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-18,EVD-000083
ATT-000084,SESS-000856,000000000080000094,2000,1.000,"Impeller vanes eroded, 30 percent material loss",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-19,EVD-000084
ATT-000085,SESS-000858,000000000080000095,1000,1.000,Casing wear through at discharge throat,BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-13,EVD-000085
ATT-000086,SESS-000860,000000000080000097,3000,1.000,Casing wear through at discharge throat,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-01-02,EVD-000086
ATT-000087,SESS-000863,000000000080000099,4000,1.000,"Outer race spalling, radial play beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-08,EVD-000087
ATT-000088,SESS-000864,000000000080000100,2000,1.000,Stator winding insulation resistance failed at 500V,WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-13,EVD-000088
ATT-000089,SESS-000865,000000000080000100,3000,1.000,"Outer race spalling, radial play beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-20,EVD-000089
ATT-000090,SESS-000866,000000000080000101,2000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-12-13,EVD-000090
ATT-000091,SESS-000868,000000000080000103,2000,1.000,"Outer race spalling, radial play beyond limit",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-07,EVD-000091
ATT-000092,SESS-000869,000000000080000104,3000,1.000,Stator winding insulation resistance failed at 500V,SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-23,EVD-000092
ATT-000093,SESS-000871,000000000080000105,1000,1.000,"Input pinion tooth chipping, backlash high",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-09-04,EVD-000093
ATT-000094,SESS-000872,000000000080000106,2000,1.000,Casing wear through at discharge throat,WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-29,EVD-000094
ATT-000095,SESS-000873,000000000080000107,2000,1.000,Stator winding insulation resistance failed at 500V,BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-03-16,EVD-000095
ATT-000096,SESS-000874,000000000080000108,2000,1.000,"Outer race spalling, radial play beyond limit",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-07,EVD-000096
ATT-000097,SESS-000875,000000000080000109,3000,1.000,"Impeller vanes eroded, 30 percent material loss",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-15,EVD-000097
ATT-000098,SESS-000876,000000000080000110,2000,1.000,Stator winding insulation resistance failed at 500V,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-10,EVD-000098
ATT-000099,SESS-000877,000000000080000111,1000,1.000,Casing wear through at discharge throat,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-19,EVD-000099
ATT-000100,SESS-000879,000000000080000112,1000,1.000,"Shaft journal grooved, runout beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-24,EVD-000100
ATT-000101,SESS-000880,000000000080000113,3000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-02-03,EVD-000101
ATT-000102,SESS-000881,000000000080000114,2000,1.000,"Seal faces scored, leaking under load",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-22,EVD-000102
ATT-000103,SESS-000882,000000000080000115,3000,1.000,"Seal faces scored, leaking under load",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-24,EVD-000103
ATT-000104,SESS-000883,000000000080000116,1000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-12-04,EVD-000104
ATT-000105,SESS-000885,000000000080000118,3000,1.000,"Outer race spalling, radial play beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-12-20,EVD-000105
ATT-000106,SESS-000886,000000000080000119,4000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-12-31,EVD-000106
ATT-000107,SESS-000887,000000000080000121,3000,1.000,"Outer race spalling, radial play beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-02,EVD-000107
ATT-000108,SESS-000889,000000000080000122,3000,1.000,"Input pinion tooth chipping, backlash high",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-17,EVD-000108
ATT-000109,SESS-000891,000000000080000124,2000,1.000,Casing wear through at discharge throat,ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-12-20,EVD-000109
ATT-000110,SESS-000895,000000000080000130,1000,1.000,"Impeller vanes eroded, 30 percent material loss",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-12-10,EVD-000110
ATT-000111,SESS-000896,000000000080000131,4000,1.000,"Input pinion tooth chipping, backlash high",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-12,EVD-000111
ATT-000112,SESS-000897,000000000080000131,3000,1.000,"Input pinion tooth chipping, backlash high",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-22,EVD-000112
ATT-000113,SESS-000898,000000000080000132,3000,1.000,"Impeller vanes eroded, 30 percent material loss",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-19,EVD-000113
ATT-000114,SESS-000899,000000000080000132,2000,1.000,"Seal faces scored, leaking under load",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-02,EVD-000114
ATT-000115,SESS-000900,000000000080000133,4000,1.000,"Impeller vanes eroded, 30 percent material loss",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-11-25,EVD-000115
ATT-000116,SESS-000901,000000000080000134,3000,1.000,"Shaft journal grooved, runout beyond limit",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-12,EVD-000116
ATT-000117,SESS-000902,000000000080000135,3000,1.000,"Outer race spalling, radial play beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-12-29,EVD-000117
ATT-000118,SESS-000905,000000000080000136,4000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-02-28,EVD-000118
ATT-000119,SESS-000906,000000000080000137,2000,1.000,"Outer race spalling, radial play beyond limit",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-28,EVD-000119
ATT-000120,SESS-000908,000000000080000139,1000,1.000,Stator winding insulation resistance failed at 500V,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-14,EVD-000120
ATT-000121,SESS-000909,000000000080000140,4000,1.000,"Impeller vanes eroded, 30 percent material loss",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-14,EVD-000121
ATT-000122,SESS-000910,000000000080000141,1000,1.000,Stator winding insulation resistance failed at 500V,SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-10,EVD-000122
ATT-000123,SESS-000911,000000000080000142,3000,1.000,"Input pinion tooth chipping, backlash high",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-02-11,EVD-000123
ATT-000124,SESS-000912,000000000080000143,2000,1.000,Stator winding insulation resistance failed at 500V,BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-19,EVD-000124
ATT-000125,SESS-000914,000000000080000145,1000,1.000,"Input pinion tooth chipping, backlash high",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-11-08,EVD-000125
ATT-000126,SESS-000915,000000000080000146,1000,1.000,"Seal faces scored, leaking under load",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-24,EVD-000126
ATT-000127,SESS-000916,000000000080000146,3000,1.000,"Shaft journal grooved, runout beyond limit",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-14,EVD-000127
ATT-000128,SESS-000917,000000000080000147,2000,1.000,"Shaft journal grooved, runout beyond limit",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-14,EVD-000128
ATT-000129,SESS-000918,000000000080000148,4000,1.000,"Outer race spalling, radial play beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-29,EVD-000129
ATT-000130,SESS-000919,000000000080000149,2000,1.000,"Shaft journal grooved, runout beyond limit",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-22,EVD-000130
ATT-000131,SESS-000921,000000000080000151,1000,1.000,Stator winding insulation resistance failed at 500V,ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-02-13,EVD-000131
ATT-000132,SESS-000922,000000000080000151,2000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-19,EVD-000132
ATT-000133,SESS-000923,000000000080000152,1000,1.000,Stator winding insulation resistance failed at 500V,CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-23,EVD-000133
ATT-000134,SESS-000924,000000000080000153,4000,1.000,"Shaft journal grooved, runout beyond limit",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-28,EVD-000134
ATT-000135,SESS-000926,000000000080000155,4000,1.000,"Input pinion tooth chipping, backlash high",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-02-13,EVD-000135
ATT-000136,SESS-000927,000000000080000156,2000,1.000,Stator winding insulation resistance failed at 500V,SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-15,EVD-000136
ATT-000137,SESS-000928,000000000080000156,4000,1.000,"Impeller vanes eroded, 30 percent material loss",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-26,EVD-000137
ATT-000138,SESS-000929,000000000080000157,4000,1.000,"Input pinion tooth chipping, backlash high",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-14,EVD-000138
ATT-000139,SESS-000930,000000000080000158,2000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-06-22,EVD-000139
ATT-000140,SESS-000931,000000000080000158,1000,1.000,"Input pinion tooth chipping, backlash high",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-25,EVD-000140
ATT-000141,SESS-000932,000000000080000159,2000,1.000,"Impeller vanes eroded, 30 percent material loss",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-23,EVD-000141
ATT-000142,SESS-000933,000000000080000159,3000,1.000,Stator winding insulation resistance failed at 500V,ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-26,EVD-000142
ATT-000143,SESS-000934,000000000080000160,2000,1.000,Stator winding insulation resistance failed at 500V,BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-01-21,EVD-000143
ATT-000144,SESS-000936,000000000080000162,2000,1.000,Casing wear through at discharge throat,SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-05,EVD-000144
