approval_id,recommendation_id,approver_role,approver_user,decision,decision_date,comment
APR-000083,REC-000120,Inventory Controller,VZIINV02,HELD,2026-09-07,Held pending further consumption evidence.
APR-000084,REC-000121,Engineering Head,VZIINV01,APPROVED,2026-06-12,Approved; to be applied in SAP by VZI.
APR-000085,REC-000122,Engineering Head,VZIINV02,APPROVED,2026-05-23,Approved; to be applied in SAP by VZI.
APR-000086,REC-000124,Engineering Head,VZIINV02,REJECTED,2026-08-03,Consumption not considered representative.
APR-000087,REC-000125,Inventory Controller,VZIINV01,APPROVED,2026-08-02,Approved; to be applied in SAP by VZI.
APR-000088,REC-000127,Commercial Head,VZIINV02,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000089,REC-000128,Commercial Head,VZIINV01,REJECTED,2026-06-16,Consumption not considered representative.
APR-000090,REC-000130,Inventory Controller,VZIINV02,APPROVED,2026-08-04,Approved; to be applied in SAP by VZI.
APR-000091,REC-000131,Engineering Head,VZIINV01,REJECTED,2026-08-07,Consumption not considered representative.
APR-000092,REC-000132,Engineering Head,VZIINV02,HELD,2026-07-02,Held pending further consumption evidence.
APR-000093,REC-000133,Plant Head,VZIINV01,HELD,2026-08-26,Held pending further consumption evidence.
APR-000094,REC-000135,Inventory Controller,VZIINV02,HELD,2026-06-13,Held pending further consumption evidence.
APR-000095,REC-000136,Plant Head,VZIINV02,HELD,2026-08-01,Held pending further consumption evidence.
APR-000096,REC-000137,Plant Head,VZIINV01,HELD,2026-07-23,Held pending further consumption evidence.
APR-000097,REC-000138,Engineering Head,VZIINV02,APPROVED,2026-07-31,Approved; to be applied in SAP by VZI.
APR-000098,REC-000140,Commercial Head,VZIINV02,REJECTED,2026-07-08,Consumption not considered representative.
APR-000099,REC-000141,Commercial Head,VZIINV01,APPROVED,2026-08-22,Approved; to be applied in SAP by VZI.
APR-000100,REC-000142,Plant Head,VZIINV02,APPROVED,2026-08-22,Approved; to be applied in SAP by VZI.
APR-000101,REC-000144,Inventory Controller,VZIINV02,APPROVED,2026-07-07,Approved; to be applied in SAP by VZI.
APR-000102,REC-000146,Plant Head,VZIINV02,APPROVED,2026-07-20,Approved; to be applied in SAP by VZI.
APR-000103,REC-000147,Inventory Controller,VZIINV02,APPROVED,2026-08-15,Approved; to be applied in SAP by VZI.
APR-000104,REC-000148,Inventory Controller,VZIINV02,APPROVED,2026-07-18,Approved; to be applied in SAP by VZI.
APR-000105,REC-000149,Plant Head,VZIINV02,APPROVED,2026-06-14,Approved; to be applied in SAP by VZI.
APR-000106,REC-000150,Engineering Head,VZIINV02,HELD,2026-08-01,Held pending further consumption evidence.
APR-000107,REC-000153,Commercial Head,VZIINV01,HELD,2026-07-17,Held pending further consumption evidence.
APR-000108,REC-000154,Inventory Controller,VZIINV02,APPROVED,2026-06-27,Approved; to be applied in SAP by VZI.
APR-000109,REC-000155,Engineering Head,VZIINV02,REJECTED,2026-08-11,Consumption not considered representative.
APR-000110,REC-000156,Plant Head,VZIINV02,REJECTED,2026-08-29,Consumption not considered representative.
APR-000111,REC-000157,Commercial Head,VZIINV02,APPROVED,2026-09-04,Approved; to be applied in SAP by VZI.
APR-000112,REC-000158,Engineering Head,VZIINV01,REJECTED,2026-07-19,Consumption not considered representative.
APR-000113,REC-000159,Engineering Head,VZIINV01,REJECTED,2026-08-10,Consumption not considered representative.
APR-000114,REC-000160,Inventory Controller,VZIINV01,REJECTED,2026-06-12,Consumption not considered representative.
APR-000115,REC-000161,Plant Head,VZIINV01,REJECTED,2026-06-23,Consumption not considered representative.
APR-000116,REC-000162,Engineering Head,VZIINV02,APPROVED,2026-06-17,Approved; to be applied in SAP by VZI.
APR-000117,REC-000163,Inventory Controller,VZIINV02,APPROVED,2026-09-04,Approved; to be applied in SAP by VZI.
APR-000118,REC-000164,Plant Head,VZIINV02,HELD,2026-07-30,Held pending further consumption evidence.
APR-000119,REC-000165,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000120,REC-000166,Inventory Controller,VZIINV02,APPROVED,2026-08-12,Approved; to be applied in SAP by VZI.
APR-000121,REC-000167,Plant Head,VZIINV02,APPROVED,2026-08-24,Approved; to be applied in SAP by VZI.
APR-000122,REC-000168,Plant Head,VZIINV01,APPROVED,2026-06-16,Approved; to be applied in SAP by VZI.
APR-000123,REC-000171,Plant Head,VZIINV02,REJECTED,2026-08-03,Consumption not considered representative.
APR-000124,REC-000172,Commercial Head,VZIINV01,APPROVED,2026-05-27,Approved; to be applied in SAP by VZI.
APR-000125,REC-000173,Commercial Head,VZIINV01,APPROVED,2026-08-09,Approved; to be applied in SAP by VZI.
APR-000126,REC-000176,Inventory Controller,VZIINV01,APPROVED,2026-08-09,Approved; to be applied in SAP by VZI.
APR-000127,REC-000177,Plant Head,VZIINV01,APPROVED,2026-06-03,Approved; to be applied in SAP by VZI.
APR-000128,REC-000180,Inventory Controller,VZIINV02,HELD,2026-08-08,Held pending further consumption evidence.
APR-000129,REC-000182,Engineering Head,VZIINV01,HELD,2026-06-22,Held pending further consumption evidence.
APR-000130,REC-000183,Inventory Controller,VZIINV02,APPROVED,2026-08-13,Approved; to be applied in SAP by VZI.
APR-000131,REC-000187,Inventory Controller,VZIINV02,HELD,2026-08-14,Held pending further consumption evidence.
APR-000132,REC-000188,Plant Head,VZIINV01,REJECTED,2026-08-14,Consumption not considered representative.
APR-000133,REC-000190,Plant Head,VZIINV01,APPROVED,2026-06-10,Approved; to be applied in SAP by VZI.
APR-000134,REC-000191,Inventory Controller,VZIINV01,HELD,2026-06-13,Held pending further consumption evidence.
APR-000135,REC-000192,Inventory Controller,VZIINV01,REJECTED,2026-05-27,Consumption not considered representative.
APR-000136,REC-000193,Inventory Controller,VZIINV01,APPROVED,2026-07-31,Approved; to be applied in SAP by VZI.
APR-000137,REC-000194,Commercial Head,VZIINV02,REJECTED,2026-08-13,Consumption not considered representative.
APR-000138,REC-000195,Inventory Controller,VZIINV02,HELD,2026-07-01,Held pending further consumption evidence.
APR-000139,REC-000196,Inventory Controller,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000140,REC-000198,Inventory Controller,VZIINV01,REJECTED,2026-06-21,Consumption not considered representative.
APR-000141,REC-000199,Engineering Head,VZIINV02,APPROVED,2026-06-18,Approved; to be applied in SAP by VZI.
APR-000142,REC-000201,Inventory Controller,VZIINV02,APPROVED,2026-06-15,Approved; to be applied in SAP by VZI.
APR-000143,REC-000202,Engineering Head,VZIINV02,APPROVED,2026-07-27,Approved; to be applied in SAP by VZI.
APR-000144,REC-000205,Inventory Controller,VZIINV02,APPROVED,2026-06-25,Approved; to be applied in SAP by VZI.
APR-000145,REC-000209,Inventory Controller,VZIINV01,REJECTED,2026-09-02,Consumption not considered representative.
APR-000146,REC-000210,Inventory Controller,VZIINV02,REJECTED,2026-08-10,Consumption not considered representative.
APR-000147,REC-000215,Engineering Head,VZIINV01,APPROVED,2026-06-21,Approved; to be applied in SAP by VZI.
APR-000148,REC-000216,Inventory Controller,VZIINV02,APPROVED,2026-07-20,Approved; to be applied in SAP by VZI.
APR-000149,REC-000219,Plant Head,VZIINV02,REJECTED,2026-05-29,Consumption not considered representative.
APR-000150,REC-000220,Plant Head,VZIINV01,APPROVED,2026-07-21,Approved; to be applied in SAP by VZI.
APR-000151,REC-000221,Plant Head,VZIINV02,APPROVED,2026-05-29,Approved; to be applied in SAP by VZI.
APR-000152,REC-000222,Commercial Head,VZIINV02,APPROVED,2026-05-15,Approved; to be applied in SAP by VZI.
APR-000153,REC-000223,Engineering Head,VZIINV02,HELD,2026-08-28,Held pending further consumption evidence.
APR-000154,REC-000227,Plant Head,VZIINV01,APPROVED,2026-05-28,Approved; to be applied in SAP by VZI.
APR-000155,REC-000228,Inventory Controller,VZIINV01,REJECTED,2026-09-01,Consumption not considered representative.
APR-000156,REC-000229,Engineering Head,VZIINV02,HELD,2026-07-26,Held pending further consumption evidence.
APR-000157,REC-000230,Engineering Head,VZIINV01,APPROVED,2026-07-10,Approved; to be applied in SAP by VZI.
APR-000158,REC-000231,Engineering Head,VZIINV02,HELD,2026-08-14,Held pending further consumption evidence.
APR-000159,REC-000234,Engineering Head,VZIINV02,APPROVED,2026-07-07,Approved; to be applied in SAP by VZI.
APR-000160,REC-000236,Engineering Head,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000161,REC-000237,Engineering Head,VZIINV02,HELD,2026-08-10,Held pending further consumption evidence.
APR-000162,REC-000240,Commercial Head,VZIINV02,HELD,2026-07-21,Held pending further consumption evidence.
APR-000163,REC-000241,Plant Head,VZIINV02,REJECTED,2026-06-30,Consumption not considered representative.
APR-000164,REC-000242,Plant Head,VZIINV02,APPROVED,2026-06-27,Approved; to be applied in SAP by VZI.
APR-000165,REC-000243,Plant Head,VZIINV02,APPROVED,2026-08-04,Approved; to be applied in SAP by VZI.
APR-000166,REC-000249,Engineering Head,VZIINV02,HELD,2026-07-20,Held pending further consumption evidence.
APR-000167,REC-000251,Inventory Controller,VZIINV01,APPROVED,2026-06-11,Approved; to be applied in SAP by VZI.
APR-000168,REC-000252,Inventory Controller,VZIINV01,APPROVED,2026-06-28,Approved; to be applied in SAP by VZI.
APR-000169,REC-000253,Plant Head,VZIINV02,APPROVED,2026-06-01,Approved; to be applied in SAP by VZI.
APR-000170,REC-000254,Plant Head,VZIINV01,HELD,2026-08-05,Held pending further consumption evidence.
APR-000171,REC-000255,Commercial Head,VZIINV02,HELD,2026-08-05,Held pending further consumption evidence.
APR-000172,REC-000256,Plant Head,VZIINV01,APPROVED,2026-06-22,Approved; to be applied in SAP by VZI.
APR-000173,REC-000258,Commercial Head,VZIINV01,APPROVED,2026-08-03,Approved; to be applied in SAP by VZI.
APR-000174,REC-000259,Inventory Controller,VZIINV02,APPROVED,2026-05-22,Approved; to be applied in SAP by VZI.
APR-000175,REC-000260,Inventory Controller,VZIINV01,APPROVED,2026-07-14,Approved; to be applied in SAP by VZI.
APR-000176,REC-000261,Inventory Controller,VZIINV02,REJECTED,2026-08-21,Consumption not considered representative.
APR-000177,REC-000262,Inventory Controller,VZIINV01,APPROVED,2026-05-20,Approved; to be applied in SAP by VZI.
APR-000178,REC-000264,Inventory Controller,VZIINV02,APPROVED,2026-06-26,Approved; to be applied in SAP by VZI.
APR-000179,REC-000265,Commercial Head,VZIINV02,HELD,2026-06-18,Held pending further consumption evidence.
APR-000180,REC-000266,Engineering Head,VZIINV01,APPROVED,2026-08-22,Approved; to be applied in SAP by VZI.
APR-000181,REC-000267,Engineering Head,VZIINV02,APPROVED,2026-07-27,Approved; to be applied in SAP by VZI.
APR-000182,REC-000268,Plant Head,VZIINV02,APPROVED,2026-07-04,Approved; to be applied in SAP by VZI.
APR-000183,REC-000270,Plant Head,VZIINV01,APPROVED,2026-08-05,Approved; to be applied in SAP by VZI.
APR-000184,REC-000271,Plant Head,VZIINV02,APPROVED,2026-07-13,Approved; to be applied in SAP by VZI.
APR-000185,REC-000272,Plant Head,VZIINV02,HELD,2026-07-08,Held pending further consumption evidence.
APR-000186,REC-000274,Plant Head,VZIINV02,REJECTED,2026-05-14,Consumption not considered representative.
APR-000187,REC-000275,Inventory Controller,VZIINV02,REJECTED,2026-06-16,Consumption not considered representative.
APR-000188,REC-000276,Plant Head,VZIINV02,APPROVED,2026-08-08,Approved; to be applied in SAP by VZI.
APR-000189,REC-000277,Plant Head,VZIINV02,APPROVED,2026-06-12,Approved; to be applied in SAP by VZI.
APR-000190,REC-000279,Inventory Controller,VZIINV02,APPROVED,2026-08-28,Approved; to be applied in SAP by VZI.
APR-000191,REC-000280,Inventory Controller,VZIINV01,HELD,2026-06-04,Held pending further consumption evidence.
APR-000192,REC-000281,Inventory Controller,VZIINV01,HELD,2026-05-15,Held pending further consumption evidence.
APR-000193,REC-000283,Plant Head,VZIINV01,REJECTED,2026-08-01,Consumption not considered representative.
APR-000194,REC-000284,Plant Head,VZIINV01,APPROVED,2026-06-21,Approved; to be applied in SAP by VZI.
APR-000195,REC-000286,Engineering Head,VZIINV02,APPROVED,2026-07-28,Approved; to be applied in SAP by VZI.
APR-000196,REC-000287,Engineering Head,VZIINV02,REJECTED,2026-07-31,Consumption not considered representative.
APR-000197,REC-000288,Inventory Controller,VZIINV02,APPROVED,2026-06-27,Approved; to be applied in SAP by VZI.
APR-000198,REC-000289,Engineering Head,VZIINV02,REJECTED,2026-05-22,Consumption not considered representative.
APR-000199,REC-000294,Inventory Controller,VZIINV02,APPROVED,2026-07-23,Approved; to be applied in SAP by VZI.
APR-000200,REC-000297,Inventory Controller,VZIINV02,REJECTED,2026-08-16,Consumption not considered representative.
APR-000201,REC-000299,Plant Head,VZIINV02,APPROVED,2026-07-23,Approved; to be applied in SAP by VZI.
APR-000202,REC-000300,Engineering Head,VZIINV02,APPROVED,2026-05-22,Approved; to be applied in SAP by VZI.
APR-000203,REC-000301,Inventory Controller,VZIINV02,REJECTED,2026-09-07,Consumption not considered representative.
APR-000204,REC-000302,Plant Head,VZIINV02,HELD,2026-07-10,Held pending further consumption evidence.
APR-000205,REC-000303,Engineering Head,VZIINV01,HELD,2026-09-07,Held pending further consumption evidence.
APR-000206,REC-000304,Plant Head,VZIINV01,APPROVED,2026-08-28,Approved; to be applied in SAP by VZI.
APR-000207,REC-000306,Inventory Controller,VZIINV01,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000208,REC-000307,Engineering Head,VZIINV01,APPROVED,2026-07-25,Approved; to be applied in SAP by VZI.
APR-000209,REC-000309,Inventory Controller,VZIINV02,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000210,REC-000312,Plant Head,VZIINV02,REJECTED,2026-06-16,Consumption not considered representative.
APR-000211,REC-000315,Inventory Controller,VZIINV01,APPROVED,2026-07-09,Approved; to be applied in SAP by VZI.
APR-000212,REC-000316,Plant Head,VZIINV02,APPROVED,2026-07-25,Approved; to be applied in SAP by VZI.
APR-000213,REC-000317,Inventory Controller,VZIINV02,APPROVED,2026-08-24,Approved; to be applied in SAP by VZI.
APR-000214,REC-000318,Inventory Controller,VZIINV01,HELD,2026-07-25,Held pending further consumption evidence.
APR-000215,REC-000319,Inventory Controller,VZIINV02,REJECTED,2026-05-29,Consumption not considered representative.
APR-000216,REC-000320,Inventory Controller,VZIINV01,HELD,2026-06-06,Held pending further consumption evidence.
APR-000217,REC-000321,Engineering Head,VZIINV01,APPROVED,2026-08-24,Approved; to be applied in SAP by VZI.
APR-000218,REC-000325,Plant Head,VZIINV01,REJECTED,2026-07-29,Consumption not considered representative.
APR-000219,REC-000326,Commercial Head,VZIINV02,APPROVED,2026-08-02,Approved; to be applied in SAP by VZI.
APR-000220,REC-000327,Engineering Head,VZIINV01,APPROVED,2026-08-27,Approved; to be applied in SAP by VZI.
APR-000221,REC-000328,Engineering Head,VZIINV02,REJECTED,2026-08-05,Consumption not considered representative.
APR-000222,REC-000329,Inventory Controller,VZIINV01,REJECTED,2026-08-05,Consumption not considered representative.
APR-000223,REC-000331,Inventory Controller,VZIINV02,APPROVED,2026-07-21,Approved; to be applied in SAP by VZI.
APR-000224,REC-000333,Plant Head,VZIINV02,REJECTED,2026-08-07,Consumption not considered representative.
APR-000225,REC-000334,Plant Head,VZIINV02,APPROVED,2026-06-17,Approved; to be applied in SAP by VZI.
APR-000226,REC-000336,Engineering Head,VZIINV01,APPROVED,2026-07-26,Approved; to be applied in SAP by VZI.
APR-000227,REC-000338,Engineering Head,VZIINV02,APPROVED,2026-07-04,Approved; to be applied in SAP by VZI.
APR-000228,REC-000339,Inventory Controller,VZIINV02,APPROVED,2026-07-01,Approved; to be applied in SAP by VZI.
APR-000229,REC-000342,Inventory Controller,VZIINV01,APPROVED,2026-06-13,Approved; to be applied in SAP by VZI.
APR-000230,REC-000344,Plant Head,VZIINV01,REJECTED,2026-08-25,Consumption not considered representative.
APR-000231,REC-000345,Engineering Head,VZIINV02,APPROVED,2026-05-28,Approved; to be applied in SAP by VZI.
APR-000232,REC-000348,Inventory Controller,VZIINV02,APPROVED,2026-07-06,Approved; to be applied in SAP by VZI.
APR-000233,REC-000350,Plant Head,VZIINV02,APPROVED,2026-05-24,Approved; to be applied in SAP by VZI.
APR-000234,REC-000351,Inventory Controller,VZIINV02,REJECTED,2026-06-13,Consumption not considered representative.
APR-000235,REC-000352,Engineering Head,VZIINV02,APPROVED,2026-05-25,Approved; to be applied in SAP by VZI.
APR-000236,REC-000353,Engineering Head,VZIINV01,REJECTED,2026-09-03,Consumption not considered representative.
APR-000237,REC-000354,Inventory Controller,VZIINV02,APPROVED,2026-08-08,Approved; to be applied in SAP by VZI.
APR-000238,REC-000355,Engineering Head,VZIINV01,REJECTED,2026-07-31,Consumption not considered representative.
APR-000239,REC-000356,Inventory Controller,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000240,REC-000358,Engineering Head,VZIINV02,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000241,REC-000359,Engineering Head,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000242,REC-000360,Commercial Head,VZIINV02,APPROVED,2026-08-06,Approved; to be applied in SAP by VZI.
APR-000243,REC-000362,Plant Head,VZIINV02,REJECTED,2026-07-21,Consumption not considered representative.
APR-000244,REC-000363,Plant Head,VZIINV01,HELD,2026-07-22,Held pending further consumption evidence.
APR-000245,REC-000364,Plant Head,VZIINV01,APPROVED,2026-05-31,Approved; to be applied in SAP by VZI.
APR-000246,REC-000365,Inventory Controller,VZIINV01,HELD,2026-08-18,Held pending further consumption evidence.
APR-000247,REC-000366,Plant Head,VZIINV01,APPROVED,2026-07-28,Approved; to be applied in SAP by VZI.
APR-000248,REC-000367,Inventory Controller,VZIINV02,HELD,2026-08-22,Held pending further consumption evidence.
APR-000249,REC-000368,Engineering Head,VZIINV02,APPROVED,2026-06-25,Approved; to be applied in SAP by VZI.
APR-000250,REC-000369,Engineering Head,VZIINV01,APPROVED,2026-06-11,Approved; to be applied in SAP by VZI.
APR-000251,REC-000370,Engineering Head,VZIINV02,HELD,2026-06-21,Held pending further consumption evidence.
APR-000252,REC-000371,Plant Head,VZIINV02,REJECTED,2026-07-18,Consumption not considered representative.
APR-000253,REC-000372,Engineering Head,VZIINV01,APPROVED,2026-08-09,Approved; to be applied in SAP by VZI.
APR-000254,REC-000374,Commercial Head,VZIINV01,REJECTED,2026-06-18,Consumption not considered representative.
APR-000255,REC-000375,Inventory Controller,VZIINV02,HELD,2026-06-18,Held pending further consumption evidence.
APR-000256,REC-000376,Inventory Controller,VZIINV01,APPROVED,2026-08-28,Approved; to be applied in SAP by VZI.
