exception_id,exception_type,Matnr,Werks,object_reference,detected_on,owner,status,detail
EXC-000011,OVERDUE_USE,000000000030000016,1000,Rsnum 1000000045,2026-09-06,VZIINV01,OPEN,Received on 2026-05-05 against a planned use date of 2026-07-07; no goods issue after 14 days grace.
EXC-000012,OVERDUE_USE,000000000030000018,4000,Rsnum 1000000048,2026-09-06,VZIINV01,OPEN,Received on 2026-04-15 against a planned use date of 2026-06-07; no goods issue after 14 days grace.
EXC-000013,OVERDUE_USE,000000000030000021,4000,Rsnum 1000000056,2026-09-03,VZIINV01,OPEN,Received on 2026-06-26 against a planned use date of 2026-08-02; no goods issue after 14 days grace.
EXC-000014,OVERDUE_USE,000000000030000022,4000,Rsnum 1000000057,2026-08-31,VZIINV02,OPEN,Received on 2026-04-26 against a planned use date of 2026-07-09; no goods issue after 14 days grace.
EXC-000015,OVERDUE_USE,000000000030000028,4000,Rsnum 1000000074,2026-09-06,VZIINV01,AWAITING_REQUESTER,Received on 2026-06-15 against a planned use date of 2026-06-19; no goods issue after 14 days grace.
EXC-000016,OVERDUE_USE,000000000030000030,3000,Rsnum 1000000078,2026-09-07,VZIINV01,OPEN,Received on 2026-09-01 against a planned use date of 2026-05-31; no goods issue after 14 days grace.
EXC-000017,OVERDUE_USE,000000000030000030,3000,Rsnum 1000000079,2026-09-06,VZIINV02,OPEN,Received on 2026-01-09 against a planned use date of 2026-06-08; no goods issue after 14 days grace.
EXC-000018,OVERDUE_USE,000000000030000031,3000,Rsnum 1000000082,2026-09-06,VZIINV01,OPEN,Received on 2026-01-29 against a planned use date of 2026-05-24; no goods issue after 14 days grace.
EXC-000019,OVERDUE_USE,000000000030000032,2000,Rsnum 1000000083,2026-08-31,VZIINV02,OPEN,Received on 2026-01-06 against a planned use date of 2026-05-08; no goods issue after 14 days grace.
EXC-000020,OVERDUE_USE,000000000030000035,4000,Rsnum 1000000093,2026-09-07,VZIINV01,OPEN,Received on 2026-06-26 against a planned use date of 2026-06-20; no goods issue after 14 days grace.
EXC-000021,NO_CONSUMPTION_PLAN,000000000030000037,4000,Rsnum 1000000098,2026-08-31,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000022,OVERDUE_USE,000000000030000039,1000,Rsnum 1000000104,2026-08-28,VZIINV01,CLOSED,Received on 2026-07-05 against a planned use date of 2026-08-18; no goods issue after 14 days grace.
EXC-000023,NO_CONSUMPTION_PLAN,000000000030000039,1000,Rsnum 1000000105,2026-08-28,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000024,OVERDUE_USE,000000000030000040,1000,Rsnum 1000000106,2026-09-04,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-15 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000025,OVERDUE_USE,000000000030000040,1000,Rsnum 1000000108,2026-09-07,VZIINV02,CLOSED,Received on 2026-08-12 against a planned use date of 2026-05-20; no goods issue after 14 days grace.
EXC-000026,OVERDUE_USE,000000000030000043,3000,Rsnum 1000000112,2026-09-03,VZIINV02,CLOSED,Received on 2026-06-15 against a planned use date of 2026-06-19; no goods issue after 14 days grace.
EXC-000027,OVERDUE_USE,000000000030000048,4000,Rsnum 1000000126,2026-09-01,VZIINV02,OPEN,Received on 2026-03-08 against a planned use date of 2026-07-12; no goods issue after 14 days grace.
EXC-000028,OVERDUE_USE,000000000030000048,4000,Rsnum 1000000127,2026-09-06,VZIINV01,OPEN,Received on 2026-01-26 against a planned use date of 2026-05-12; no goods issue after 14 days grace.
EXC-000029,OVERDUE_USE,000000000030000050,3000,Rsnum 1000000130,2026-09-02,VZIINV01,CLOSED,Received on 2026-06-13 against a planned use date of 2026-07-03; no goods issue after 14 days grace.
EXC-000030,OVERDUE_USE,000000000030000052,1000,Rsnum 1000000136,2026-09-07,VZIINV01,CLOSED,Received on 2026-05-09 against a planned use date of 2026-08-13; no goods issue after 14 days grace.
EXC-000031,OVERDUE_USE,000000000030000055,1000,Rsnum 1000000144,2026-08-29,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-13 against a planned use date of 2026-06-06; no goods issue after 14 days grace.
EXC-000032,NO_CONSUMPTION_PLAN,000000000030000056,2000,Rsnum 1000000147,2026-09-02,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000033,OVERDUE_USE,000000000030000058,2000,Rsnum 1000000153,2026-09-01,VZIINV02,OPEN,Received on 2025-11-27 against a planned use date of 2026-05-15; no goods issue after 14 days grace.
EXC-000034,OVERDUE_USE,000000000030000060,3000,Rsnum 1000000157,2026-08-29,VZIINV02,OPEN,Received on 2025-11-11 against a planned use date of 2026-06-16; no goods issue after 14 days grace.
EXC-000035,OVERDUE_USE,000000000030000060,3000,Rsnum 1000000158,2026-09-04,VZIINV01,AWAITING_REQUESTER,Received on 2026-05-20 against a planned use date of 2026-04-29; no goods issue after 14 days grace.
EXC-000036,OVERDUE_USE,000000000030000061,4000,Rsnum 1000000160,2026-09-02,VZIINV02,OPEN,Received on 2025-11-28 against a planned use date of 2026-04-28; no goods issue after 14 days grace.
EXC-000037,OVERDUE_USE,000000000030000061,4000,Rsnum 1000000161,2026-09-06,VZIINV02,OPEN,Received on 2025-12-19 against a planned use date of 2026-06-14; no goods issue after 14 days grace.
EXC-000038,OVERDUE_USE,000000000030000064,4000,Rsnum 1000000165,2026-08-31,VZIINV01,OPEN,Received on 2026-03-23 against a planned use date of 2026-07-25; no goods issue after 14 days grace.
EXC-000039,OVERDUE_USE,000000000030000064,1000,Rsnum 1000000169,2026-08-31,VZIINV01,OPEN,Received on 2026-06-04 against a planned use date of 2026-08-16; no goods issue after 14 days grace.
EXC-000040,NO_CONSUMPTION_PLAN,000000000030000069,4000,Rsnum 1000000179,2026-08-31,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000041,OVERDUE_USE,000000000030000077,1000,Rsnum 1000000197,2026-08-29,VZIINV01,CLOSED,Received on 2026-06-24 against a planned use date of 2026-05-16; no goods issue after 14 days grace.
EXC-000042,OVERDUE_USE,000000000030000079,4000,Rsnum 1000000200,2026-09-07,VZIINV01,CLOSED,Received on 2026-02-16 against a planned use date of 2026-07-21; no goods issue after 14 days grace.
EXC-000043,NO_CONSUMPTION_PLAN,000000000030000080,4000,Rsnum 1000000203,2026-08-30,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000044,NO_CONSUMPTION_PLAN,000000000030000081,4000,Rsnum 1000000206,2026-09-04,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000045,OVERDUE_USE,000000000030000083,1000,Rsnum 1000000208,2026-08-30,VZIINV01,AWAITING_REQUESTER,Received on 2026-08-03 against a planned use date of 2026-07-18; no goods issue after 14 days grace.
EXC-000046,NO_CONSUMPTION_PLAN,000000000030000084,4000,Rsnum 1000000211,2026-09-02,VZIINV01,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000047,OVERDUE_USE,000000000030000086,2000,Rsnum 1000000215,2026-09-02,VZIINV01,OPEN,Received on 2025-11-29 against a planned use date of 2026-05-29; no goods issue after 14 days grace.
EXC-000048,OVERDUE_USE,000000000030000087,2000,Rsnum 1000000216,2026-09-02,VZIINV02,OPEN,Received on 2026-06-04 against a planned use date of 2026-08-10; no goods issue after 14 days grace.
EXC-000049,OVERDUE_USE,000000000030000087,2000,Rsnum 1000000218,2026-08-31,VZIINV01,OPEN,Received on 2026-08-16 against a planned use date of 2026-08-02; no goods issue after 14 days grace.
EXC-000050,OVERDUE_USE,000000000030000089,4000,Rsnum 1000000222,2026-09-02,VZIINV02,OPEN,Received on 2025-11-25 against a planned use date of 2026-07-05; no goods issue after 14 days grace.
EXC-000051,OVERDUE_USE,000000000030000090,4000,Rsnum 1000000223,2026-09-05,VZIINV02,CLOSED,Received on 2026-08-27 against a planned use date of 2026-07-04; no goods issue after 14 days grace.
EXC-000052,OVERDUE_USE,000000000030000090,3000,Rsnum 1000000224,2026-09-05,VZIINV01,CLOSED,Received on 2025-12-31 against a planned use date of 2026-05-12; no goods issue after 14 days grace.
EXC-000053,NO_CONSUMPTION_PLAN,000000000030000092,2000,Rsnum 1000000229,2026-08-30,VZIINV01,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000054,OVERDUE_USE,000000000030000100,3000,Rsnum 1000000242,2026-09-01,VZIINV02,OPEN,Received on 2025-12-04 against a planned use date of 2026-08-11; no goods issue after 14 days grace.
EXC-000055,OVERDUE_USE,000000000030000100,3000,Rsnum 1000000243,2026-09-04,VZIINV01,CLOSED,Received on 2026-02-07 against a planned use date of 2026-07-20; no goods issue after 14 days grace.
EXC-000056,OVERDUE_USE,000000000030000101,4000,Rsnum 1000000244,2026-08-28,VZIINV02,OPEN,Received on 2026-05-22 against a planned use date of 2026-05-01; no goods issue after 14 days grace.
EXC-000057,OVERDUE_USE,000000000030000102,4000,Rsnum 1000000249,2026-09-03,VZIINV01,OPEN,Received on 2026-02-20 against a planned use date of 2026-06-28; no goods issue after 14 days grace.
EXC-000058,OVERDUE_USE,000000000030000105,3000,Rsnum 1000000254,2026-09-02,VZIINV01,OPEN,Received on 2026-01-17 against a planned use date of 2026-05-01; no goods issue after 14 days grace.
EXC-000059,OVERDUE_USE,000000000030000108,2000,Rsnum 1000000263,2026-09-05,VZIINV02,OPEN,Received on 2026-01-20 against a planned use date of 2026-07-07; no goods issue after 14 days grace.
EXC-000060,OVERDUE_USE,000000000030000108,1000,Rsnum 1000000265,2026-09-02,VZIINV02,OPEN,Received on 2026-08-14 against a planned use date of 2026-05-09; no goods issue after 14 days grace.
EXC-000061,OVERDUE_USE,000000000030000109,1000,Rsnum 1000000268,2026-09-03,VZIINV01,AWAITING_REQUESTER,Received on 2026-07-30 against a planned use date of 2026-08-09; no goods issue after 14 days grace.
EXC-000062,NO_CONSUMPTION_PLAN,000000000030000115,3000,Rsnum 1000000278,2026-09-02,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000063,OVERDUE_USE,000000000030000116,1000,Rsnum 1000000282,2026-09-02,VZIINV01,OPEN,Received on 2026-01-06 against a planned use date of 2026-07-01; no goods issue after 14 days grace.
EXC-000064,OVERDUE_USE,000000000030000120,3000,Rsnum 1000000290,2026-08-28,VZIINV02,CLOSED,Received on 2026-05-12 against a planned use date of 2026-06-18; no goods issue after 14 days grace.
EXC-000065,OVERDUE_USE,000000000030000120,3000,Rsnum 1000000291,2026-09-07,VZIINV02,OPEN,Received on 2026-03-14 against a planned use date of 2026-06-17; no goods issue after 14 days grace.
EXC-000066,NO_CONSUMPTION_PLAN,000000000030000123,1000,Rsnum 1000000295,2026-09-07,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000067,NO_CONSUMPTION_PLAN,000000000030000123,1000,Rsnum 1000000296,2026-09-03,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000068,OVERDUE_USE,000000000030000127,2000,Rsnum 1000000306,2026-09-05,VZIINV02,AWAITING_REQUESTER,Received on 2025-12-14 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000069,OVERDUE_USE,000000000030000128,3000,Rsnum 1000000308,2026-09-06,VZIINV01,AWAITING_REQUESTER,Received on 2025-11-15 against a planned use date of 2026-06-13; no goods issue after 14 days grace.
EXC-000070,OVERDUE_USE,000000000030000130,4000,Rsnum 1000000314,2026-08-29,VZIINV01,CLOSED,Received on 2026-08-07 against a planned use date of 2026-08-06; no goods issue after 14 days grace.
EXC-000071,OVERDUE_USE,000000000030000132,3000,Rsnum 1000000321,2026-09-03,VZIINV01,AWAITING_REQUESTER,Received on 2025-12-29 against a planned use date of 2026-08-13; no goods issue after 14 days grace.
EXC-000072,OVERDUE_USE,000000000030000133,4000,Rsnum 1000000322,2026-09-01,VZIINV01,CLOSED,Received on 2025-12-02 against a planned use date of 2026-05-14; no goods issue after 14 days grace.
EXC-000073,OVERDUE_USE,000000000030000133,4000,Rsnum 1000000323,2026-09-03,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-07 against a planned use date of 2026-07-22; no goods issue after 14 days grace.
EXC-000074,OVERDUE_USE,000000000030000136,3000,Rsnum 1000000327,2026-09-04,VZIINV01,OPEN,Received on 2026-04-23 against a planned use date of 2026-06-23; no goods issue after 14 days grace.
EXC-000075,OVERDUE_USE,000000000030000139,3000,Rsnum 1000000331,2026-09-02,VZIINV02,OPEN,Received on 2026-08-24 against a planned use date of 2026-05-04; no goods issue after 14 days grace.
EXC-000076,OVERDUE_USE,000000000030000144,3000,Rsnum 1000000345,2026-08-30,VZIINV01,AWAITING_REQUESTER,Received on 2026-05-04 against a planned use date of 2026-08-01; no goods issue after 14 days grace.
EXC-000077,NO_CONSUMPTION_PLAN,000000000030000149,2000,Rsnum 1000000359,2026-08-28,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000078,OVERDUE_USE,000000000030000151,3000,Rsnum 1000000365,2026-09-03,VZIINV01,AWAITING_REQUESTER,Received on 2025-10-31 against a planned use date of 2026-07-17; no goods issue after 14 days grace.
EXC-000079,OVERDUE_USE,000000000030000152,3000,Rsnum 1000000370,2026-08-29,VZIINV02,AWAITING_REQUESTER,Received on 2026-06-25 against a planned use date of 2026-06-02; no goods issue after 14 days grace.
EXC-000080,OVERDUE_USE,000000000030000152,3000,Rsnum 1000000371,2026-08-29,VZIINV01,AWAITING_REQUESTER,Received on 2026-07-19 against a planned use date of 2026-05-28; no goods issue after 14 days grace.
EXC-000081,OVERDUE_USE,000000000030000153,4000,Rsnum 1000000378,2026-09-02,VZIINV02,OPEN,Received on 2026-07-04 against a planned use date of 2026-06-28; no goods issue after 14 days grace.
EXC-000082,OVERDUE_USE,000000000030000154,2000,Rsnum 1000000380,2026-09-06,VZIINV01,AWAITING_REQUESTER,Received on 2026-08-16 against a planned use date of 2026-07-03; no goods issue after 14 days grace.
EXC-000083,OVERDUE_USE,000000000030000154,2000,Rsnum 1000000381,2026-09-02,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-14 against a planned use date of 2026-05-31; no goods issue after 14 days grace.
EXC-000084,OVERDUE_USE,000000000030000155,2000,Rsnum 1000000382,2026-09-01,VZIINV01,AWAITING_REQUESTER,Received on 2026-03-24 against a planned use date of 2026-07-27; no goods issue after 14 days grace.
EXC-000085,OVERDUE_USE,000000000030000155,2000,Rsnum 1000000384,2026-09-07,VZIINV01,CLOSED,Received on 2026-02-09 against a planned use date of 2026-05-25; no goods issue after 14 days grace.
EXC-000086,NO_CONSUMPTION_PLAN,000000000030000159,1000,Rsnum 1000000395,2026-09-02,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000087,OVERDUE_USE,000000000030000160,4000,Rsnum 1000000398,2026-09-05,VZIINV02,CLOSED,Received on 2026-05-28 against a planned use date of 2026-07-18; no goods issue after 14 days grace.
EXC-000088,OVERDUE_USE,000000000030000161,2000,Rsnum 1000000399,2026-08-29,VZIINV01,OPEN,Received on 2026-04-01 against a planned use date of 2026-07-22; no goods issue after 14 days grace.
EXC-000089,OVERDUE_USE,000000000030000162,1000,Rsnum 1000000402,2026-09-05,VZIINV01,OPEN,Received on 2026-03-24 against a planned use date of 2026-07-07; no goods issue after 14 days grace.
EXC-000090,NO_CONSUMPTION_PLAN,000000000030000163,2000,Rsnum 1000000406,2026-09-06,VZIINV01,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000091,OVERDUE_USE,000000000030000165,3000,Rsnum 1000000409,2026-09-03,VZIINV01,CLOSED,Received on 2026-06-17 against a planned use date of 2026-07-21; no goods issue after 14 days grace.
EXC-000092,OVERDUE_USE,000000000030000165,3000,Rsnum 1000000411,2026-09-03,VZIINV01,CLOSED,Received on 2025-12-11 against a planned use date of 2026-05-10; no goods issue after 14 days grace.
EXC-000093,OVERDUE_USE,000000000030000169,4000,Rsnum 1000000417,2026-08-30,VZIINV01,CLOSED,Received on 2026-08-03 against a planned use date of 2026-07-02; no goods issue after 14 days grace.
EXC-000094,OVERDUE_USE,000000000030000169,1000,Rsnum 1000000420,2026-08-31,VZIINV02,CLOSED,Received on 2026-04-19 against a planned use date of 2026-05-05; no goods issue after 14 days grace.
EXC-000095,OVERDUE_USE,000000000030000170,3000,Rsnum 1000000422,2026-09-01,VZIINV01,OPEN,Received on 2026-07-09 against a planned use date of 2026-06-04; no goods issue after 14 days grace.
EXC-000096,OVERDUE_USE,000000000030000171,4000,Rsnum 1000000425,2026-08-29,VZIINV02,OPEN,Received on 2026-07-14 against a planned use date of 2026-07-18; no goods issue after 14 days grace.
EXC-000097,NO_CONSUMPTION_PLAN,000000000030000172,1000,Rsnum 1000000426,2026-09-02,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000098,OVERDUE_USE,000000000030000175,4000,Rsnum 1000000431,2026-08-30,VZIINV02,AWAITING_REQUESTER,Received on 2026-08-02 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000099,NO_CONSUMPTION_PLAN,000000000030000175,3000,Rsnum 1000000434,2026-08-30,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000100,OVERDUE_USE,000000000030000175,3000,Rsnum 1000000435,2026-09-03,VZIINV02,OPEN,Received on 2026-07-25 against a planned use date of 2026-04-26; no goods issue after 14 days grace.
EXC-000101,OVERDUE_USE,000000000030000180,3000,Rsnum 1000000446,2026-08-29,VZIINV01,AWAITING_REQUESTER,Received on 2026-01-13 against a planned use date of 2026-06-11; no goods issue after 14 days grace.
EXC-000102,OVERDUE_USE,000000000030000181,4000,Rsnum 1000000451,2026-09-02,VZIINV01,OPEN,Received on 2026-02-02 against a planned use date of 2026-07-07; no goods issue after 14 days grace.
EXC-000103,OVERDUE_USE,000000000030000182,3000,Rsnum 1000000452,2026-08-29,VZIINV01,OPEN,Received on 2026-08-24 against a planned use date of 2026-07-23; no goods issue after 14 days grace.
EXC-000104,NO_CONSUMPTION_PLAN,000000000030000183,1000,Rsnum 1000000453,2026-09-05,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000105,OVERDUE_USE,000000000030000184,2000,Rsnum 1000000456,2026-09-04,VZIINV02,OPEN,Received on 2026-04-29 against a planned use date of 2026-06-23; no goods issue after 14 days grace.
EXC-000106,OVERDUE_USE,000000000030000187,3000,Rsnum 1000000461,2026-09-05,VZIINV01,CLOSED,Received on 2026-01-03 against a planned use date of 2026-05-29; no goods issue after 14 days grace.
EXC-000107,OVERDUE_USE,000000000030000189,3000,Rsnum 1000000471,2026-08-31,VZIINV01,OPEN,Received on 2026-01-24 against a planned use date of 2026-07-15; no goods issue after 14 days grace.
EXC-000108,OVERDUE_USE,000000000030000193,1000,Rsnum 1000000482,2026-09-06,VZIINV01,AWAITING_REQUESTER,Received on 2026-07-26 against a planned use date of 2026-08-07; no goods issue after 14 days grace.
EXC-000109,OVERDUE_USE,000000000030000196,3000,Rsnum 1000000489,2026-08-29,VZIINV02,AWAITING_REQUESTER,Received on 2025-11-30 against a planned use date of 2026-06-24; no goods issue after 14 days grace.
EXC-000110,OVERDUE_USE,000000000030000197,3000,Rsnum 1000000491,2026-09-07,VZIINV01,OPEN,Received on 2026-05-20 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000111,OVERDUE_USE,000000000030000198,2000,Rsnum 1000000496,2026-09-03,VZIINV01,OPEN,Received on 2026-03-16 against a planned use date of 2026-07-19; no goods issue after 14 days grace.
EXC-000112,NO_CONSUMPTION_PLAN,000000000030000199,3000,Rsnum 1000000499,2026-09-06,VZIINV01,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000113,NO_CONSUMPTION_PLAN,000000000030000200,1000,Rsnum 1000000502,2026-09-01,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000114,OVERDUE_USE,000000000030000204,3000,Rsnum 1000000510,2026-08-31,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-10 against a planned use date of 2026-05-04; no goods issue after 14 days grace.
EXC-000115,OVERDUE_USE,000000000030000206,3000,Rsnum 1000000515,2026-08-31,VZIINV02,OPEN,Received on 2026-07-19 against a planned use date of 2026-05-09; no goods issue after 14 days grace.
EXC-000116,OVERDUE_USE,000000000030000208,1000,Rsnum 1000000518,2026-08-31,VZIINV01,CLOSED,Received on 2026-05-05 against a planned use date of 2026-06-29; no goods issue after 14 days grace.
EXC-000117,OVERDUE_USE,000000000030000208,1000,Rsnum 1000000519,2026-09-03,VZIINV01,AWAITING_REQUESTER,Received on 2026-04-03 against a planned use date of 2026-05-08; no goods issue after 14 days grace.
EXC-000118,OVERDUE_USE,000000000030000212,1000,Rsnum 1000000528,2026-09-02,VZIINV01,OPEN,Received on 2026-07-01 against a planned use date of 2026-08-11; no goods issue after 14 days grace.
EXC-000119,OVERDUE_USE,000000000030000212,1000,Rsnum 1000000529,2026-09-04,VZIINV01,OPEN,Received on 2026-03-02 against a planned use date of 2026-06-23; no goods issue after 14 days grace.
EXC-000120,OVERDUE_USE,000000000030000215,1000,Rsnum 1000000536,2026-09-04,VZIINV01,OPEN,Received on 2026-02-02 against a planned use date of 2026-06-03; no goods issue after 14 days grace.
EXC-000121,OVERDUE_USE,000000000030000216,4000,Rsnum 1000000537,2026-08-31,VZIINV01,OPEN,Received on 2026-06-08 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000122,OVERDUE_USE,000000000030000217,4000,Rsnum 1000000539,2026-09-03,VZIINV01,OPEN,Received on 2026-04-11 against a planned use date of 2026-08-11; no goods issue after 14 days grace.
EXC-000123,OVERDUE_USE,000000000030000217,4000,Rsnum 1000000541,2026-09-02,VZIINV02,AWAITING_REQUESTER,Received on 2026-03-13 against a planned use date of 2026-04-28; no goods issue after 14 days grace.
EXC-000124,OVERDUE_USE,000000000030000220,2000,Rsnum 1000000547,2026-09-04,VZIINV02,OPEN,Received on 2025-12-03 against a planned use date of 2026-06-17; no goods issue after 14 days grace.
EXC-000125,OVERDUE_USE,000000000030000222,2000,Rsnum 1000000553,2026-09-07,VZIINV02,OPEN,Received on 2026-06-30 against a planned use date of 2026-06-06; no goods issue after 14 days grace.
EXC-000126,OVERDUE_USE,000000000030000223,4000,Rsnum 1000000556,2026-09-05,VZIINV02,AWAITING_REQUESTER,Received on 2026-08-10 against a planned use date of 2026-06-02; no goods issue after 14 days grace.
EXC-000127,OVERDUE_USE,000000000030000224,2000,Rsnum 1000000560,2026-09-05,VZIINV01,OPEN,Received on 2026-01-02 against a planned use date of 2026-05-24; no goods issue after 14 days grace.
EXC-000128,OVERDUE_USE,000000000030000225,1000,Rsnum 1000000565,2026-08-30,VZIINV01,OPEN,Received on 2026-04-04 against a planned use date of 2026-07-23; no goods issue after 14 days grace.
EXC-000129,OVERDUE_USE,000000000030000225,4000,Rsnum 1000000567,2026-09-06,VZIINV02,OPEN,Received on 2026-01-14 against a planned use date of 2026-06-16; no goods issue after 14 days grace.
EXC-000130,NO_CONSUMPTION_PLAN,000000000030000226,1000,Rsnum 1000000570,2026-08-28,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000131,OVERDUE_USE,000000000030000230,1000,Rsnum 1000000578,2026-08-31,VZIINV01,CLOSED,Received on 2026-01-02 against a planned use date of 2026-06-19; no goods issue after 14 days grace.
EXC-000132,OVERDUE_USE,000000000030000230,4000,Rsnum 1000000580,2026-09-04,VZIINV01,OPEN,Received on 2026-02-01 against a planned use date of 2026-07-29; no goods issue after 14 days grace.
EXC-000133,OVERDUE_USE,000000000030000233,1000,Rsnum 1000000586,2026-08-30,VZIINV02,OPEN,Received on 2026-05-02 against a planned use date of 2026-05-29; no goods issue after 14 days grace.
EXC-000134,OVERDUE_USE,000000000030000236,2000,Rsnum 1000000594,2026-08-28,VZIINV01,CLOSED,Received on 2026-07-22 against a planned use date of 2026-06-29; no goods issue after 14 days grace.
EXC-000135,OVERDUE_USE,000000000030000237,2000,Rsnum 1000000595,2026-09-07,VZIINV01,CLOSED,Received on 2026-06-27 against a planned use date of 2026-05-14; no goods issue after 14 days grace.
EXC-000136,OVERDUE_USE,000000000030000242,4000,Rsnum 1000000604,2026-08-29,VZIINV02,OPEN,Received on 2026-05-14 against a planned use date of 2026-08-10; no goods issue after 14 days grace.
EXC-000137,NO_CONSUMPTION_PLAN,000000000030000244,4000,Rsnum 1000000607,2026-09-04,VZIINV01,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000138,OVERDUE_USE,000000000030000245,1000,Rsnum 1000000611,2026-09-03,VZIINV02,CLOSED,Received on 2026-06-15 against a planned use date of 2026-08-07; no goods issue after 14 days grace.
EXC-000139,OVERDUE_USE,000000000030000245,1000,Rsnum 1000000612,2026-09-06,VZIINV01,OPEN,Received on 2026-05-21 against a planned use date of 2026-06-03; no goods issue after 14 days grace.
EXC-000140,NO_CONSUMPTION_PLAN,000000000030000250,4000,Rsnum 1000000627,2026-09-03,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000141,NO_CONSUMPTION_PLAN,000000000030000252,1000,Rsnum 1000000630,2026-09-01,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
