case_id,Matnr,Werks,repair_pr,repair_po,repair_po_item,session_id,attestation_id,stage,removed_on,expected_back_on,returned_on,overdue,vendor_turnaround_days,notes
RPR-000055,000000000080000044,1000,2000008594,4500008539,00010,SESS-000797,ATT-000034,IN_REPAIR,2026-08-25,2026-09-23,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000056,000000000080000045,4000,2000008595,4500008540,00010,SESS-000798,ATT-000035,IN_REPAIR,2026-08-05,2026-10-13,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000057,000000000080000046,4000,2000008596,4500008541,00010,SESS-000799,ATT-000036,EXPECTED_BACK,2026-07-19,2026-09-07,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000058,000000000080000047,2000,2000008597,4500008542,00010,SESS-000800,ATT-000037,BACK_IN_STOCK,2026-05-19,2026-06-21,2026-06-25,false,34,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000059,000000000080000048,3000,,,,SESS-000801,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008543 while a repairable unit was on hand.
RPR-000060,000000000080000049,4000,2000008599,4500008544,00010,SESS-000802,ATT-000038,OVERDUE,2026-05-26,2026-06-28,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000061,000000000080000050,2000,2000008600,4500008545,00010,SESS-000803,ATT-000039,IN_REPAIR,2026-07-25,2026-10-28,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000062,000000000080000051,4000,2000008601,4500008546,00010,SESS-000804,ATT-000040,BACK_IN_STOCK,2026-03-22,2026-05-25,2026-05-28,false,59,Repair vendor Kalahari Rotating Equipment Service.
RPR-000063,000000000080000052,3000,2000008602,4500008547,00010,SESS-000805,ATT-000041,EXPECTED_BACK,2026-06-12,2026-09-09,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000064,000000000080000053,1000,2000008603,4500008548,00010,SESS-000806,ATT-000042,EXPECTED_BACK,2026-08-13,2026-09-13,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000065,000000000080000054,2000,2000008604,4500008549,00010,SESS-000807,ATT-000043,RETURNED,2025-11-09,2026-02-10,2026-02-28,false,105,Repair vendor Kalahari Rotating Equipment Service.
RPR-000066,000000000080000054,4000,,,,SESS-000808,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008550 while a repairable unit was on hand.
RPR-000067,000000000080000055,3000,2000008606,4500008551,00010,SESS-000809,ATT-000044,IN_REPAIR,2026-08-01,2026-10-25,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000068,000000000080000056,3000,2000008607,4500008552,00010,SESS-000810,,BACK_IN_STOCK,2026-07-06,2026-08-03,2026-08-15,false,33,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000069,000000000080000057,1000,2000008608,4500008553,00010,SESS-000811,ATT-000045,IN_REPAIR,2026-08-06,2026-09-30,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000070,000000000080000058,2000,2000008609,4500008554,00010,SESS-000812,ATT-000046,EXPECTED_BACK,2026-07-20,2026-09-11,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000071,000000000080000059,4000,2000008610,4500008555,00010,SESS-000813,ATT-000047,OVERDUE,2026-03-15,2026-06-22,,true,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000072,000000000080000060,2000,2000008611,4500008556,00010,SESS-000814,ATT-000048,IN_REPAIR,2026-08-19,2026-10-02,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000073,000000000080000060,3000,2000008612,4500008557,00010,SESS-000815,ATT-000049,EXPECTED_BACK,2026-06-05,2026-09-08,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000074,000000000080000061,2000,2000008613,4500008558,00010,SESS-000816,,BACK_IN_STOCK,2026-03-19,2026-05-29,2026-06-10,false,74,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000075,000000000080000062,1000,2000008614,4500008559,00010,SESS-000817,ATT-000050,BACK_IN_STOCK,2026-03-27,2026-06-09,2026-06-29,false,86,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000076,000000000080000063,1000,2000008615,4500008560,00010,SESS-000818,ATT-000051,IN_REPAIR,2026-08-09,2026-10-23,,false,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000077,000000000080000063,2000,2000008616,4500008561,00010,SESS-000819,ATT-000052,BACK_IN_STOCK,2026-01-19,2026-04-03,2026-04-14,false,78,Repair vendor Orange River Gearbox Refurbishment .
RPR-000078,000000000080000064,1000,2000008617,4500008562,00010,SESS-000820,ATT-000053,IN_REPAIR,2026-08-03,2026-10-26,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000079,000000000080000065,1000,2000008618,4500008563,00010,SESS-000821,ATT-000054,IN_REPAIR,2026-08-10,2026-10-23,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000080,000000000080000065,4000,2000008619,4500008564,00010,SESS-000822,ATT-000055,BACK_IN_STOCK,2026-01-12,2026-03-07,2026-03-11,false,53,Repair vendor Springbok Mechanical Repair Works (.
RPR-000081,000000000080000066,1000,2000008620,4500008565,00010,SESS-000823,ATT-000056,OVERDUE,2026-06-04,2026-07-22,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000082,000000000080000067,4000,2000008621,4500008566,00010,SESS-000824,ATT-000057,OVERDUE,2026-03-16,2026-06-07,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000083,000000000080000068,1000,2000008622,4500008567,00010,SESS-000825,ATT-000058,IN_REPAIR,2026-08-27,2026-10-22,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000084,000000000080000068,4000,2000008623,4500008568,00010,SESS-000826,ATT-000059,EXPECTED_BACK,2026-07-06,2026-09-13,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000085,000000000080000069,2000,2000008624,4500008569,00010,SESS-000827,ATT-000060,IN_REPAIR,2026-08-03,2026-10-29,,false,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000086,000000000080000069,1000,2000008625,4500008570,00010,SESS-000828,ATT-000061,EXPECTED_BACK,2026-05-26,2026-09-10,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000087,000000000080000070,2000,2000008626,4500008571,00010,SESS-000829,ATT-000062,OVERDUE,2026-04-30,2026-06-30,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000088,000000000080000071,3000,2000008627,4500008572,00010,SESS-000830,ATT-000063,EXPECTED_BACK,2026-07-11,2026-09-07,,false,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000089,000000000080000071,1000,2000008628,4500008573,00010,SESS-000831,ATT-000064,IN_REPAIR,2026-08-18,2026-10-03,,false,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000090,000000000080000072,1000,2000008629,4500008574,00010,SESS-000832,,EXPECTED_BACK,2026-08-10,2026-09-13,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000091,000000000080000073,4000,2000008630,4500008575,00010,SESS-000833,ATT-000065,IN_REPAIR,2026-08-07,2026-10-10,,false,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000092,000000000080000074,1000,2000008631,4500008576,00010,SESS-000834,ATT-000066,RETURNED,2026-07-19,2026-08-13,2026-09-06,false,46,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000093,000000000080000075,4000,2000008632,4500008577,00010,SESS-000835,ATT-000067,OVERDUE,2026-04-19,2026-08-01,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000094,000000000080000076,1000,2000008633,4500008578,00010,SESS-000836,ATT-000068,IN_REPAIR,2026-08-23,2026-10-23,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000095,000000000080000077,2000,2000008634,4500008579,00010,SESS-000837,ATT-000069,RETURNED,2026-04-19,2026-06-02,2026-06-12,false,43,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000096,000000000080000079,2000,2000008635,4500008580,00010,SESS-000838,ATT-000070,OVERDUE,2026-02-21,2026-06-02,,true,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000097,000000000080000079,4000,2000008636,4500008581,00010,SESS-000839,,RETURNED,2026-07-04,2026-08-21,2026-08-28,false,46,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000098,000000000080000080,4000,2000008637,4500008582,00010,SESS-000840,ATT-000071,OVERDUE,2026-05-24,2026-08-08,,true,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000099,000000000080000081,4000,,,,SESS-000841,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008583 while a repairable unit was on hand.
RPR-000100,000000000080000081,3000,2000008639,4500008584,00010,SESS-000842,ATT-000072,OVERDUE,2026-05-27,2026-07-26,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000101,000000000080000082,4000,2000008640,4500008585,00010,SESS-000843,ATT-000073,RETURNED,2026-02-17,2026-05-14,2026-05-15,false,80,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000102,000000000080000083,1000,,,,SESS-000844,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008586 while a repairable unit was on hand.
RPR-000103,000000000080000083,3000,2000008642,4500008587,00010,SESS-000845,ATT-000074,EXPECTED_BACK,2026-06-23,2026-09-08,,false,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000104,000000000080000084,4000,2000008643,4500008588,00010,SESS-000846,ATT-000075,IN_REPAIR,2026-07-02,2026-10-07,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000105,000000000080000085,3000,2000008644,4500008589,00010,SESS-000847,ATT-000076,IN_REPAIR,2026-08-21,2026-10-11,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000106,000000000080000086,1000,2000008645,4500008590,00010,SESS-000848,ATT-000077,RETURNED,2025-10-09,2026-01-14,2026-01-26,false,102,Repair vendor Orange River Gearbox Refurbishment .
RPR-000107,000000000080000087,3000,2000008646,4500008591,00010,SESS-000849,ATT-000078,BACK_IN_STOCK,2026-04-20,2026-05-16,2026-05-27,false,32,Repair vendor Orange River Hydraulic Service Cent.
RPR-000108,000000000080000088,1000,2000008647,4500008592,00010,SESS-000850,ATT-000079,RETURNED,2026-01-24,2026-02-22,2026-03-14,false,42,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000109,000000000080000089,1000,2000008648,4500008593,00010,SESS-000851,ATT-000080,IN_REPAIR,2026-09-02,2026-12-05,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000110,000000000080000090,3000,2000008649,4500008594,00010,SESS-000852,ATT-000081,IN_REPAIR,2026-08-12,2026-10-12,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000111,000000000080000091,4000,2000008650,4500008595,00010,SESS-000853,ATT-000082,EXPECTED_BACK,2026-06-09,2026-09-13,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000112,000000000080000092,3000,2000008651,4500008596,00010,SESS-000854,ATT-000083,IN_REPAIR,2026-08-15,2026-10-28,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000113,000000000080000093,4000,,,,SESS-000855,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008597 while a repairable unit was on hand.
RPR-000114,000000000080000094,2000,2000008653,4500008598,00010,SESS-000856,ATT-000084,BACK_IN_STOCK,2026-01-18,2026-03-24,2026-04-11,false,79,Repair vendor Orange River Hydraulic Service Cent.
RPR-000115,000000000080000095,4000,2000008654,4500008599,00010,SESS-000857,,RETURNED,2026-03-06,2026-05-01,2026-05-18,false,64,Repair vendor Kalahari Rotating Equipment Service.
RPR-000116,000000000080000095,1000,2000008655,4500008600,00010,SESS-000858,ATT-000085,EXPECTED_BACK,2026-08-13,2026-09-14,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000117,000000000080000096,2000,,,,SESS-000859,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008601 while a repairable unit was on hand.
RPR-000118,000000000080000097,3000,2000008657,4500008602,00010,SESS-000860,ATT-000086,RETURNED,2026-01-01,2026-03-18,2026-03-29,false,81,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000119,000000000080000097,4000,2000008658,4500008603,00010,SESS-000861,,IN_REPAIR,2026-08-25,2026-10-10,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000120,000000000080000098,1000,2000008659,4500008604,00010,SESS-000862,,EXPECTED_BACK,2026-06-10,2026-09-13,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000121,000000000080000099,4000,2000008660,4500008605,00010,SESS-000863,ATT-000087,IN_REPAIR,2026-08-08,2026-09-24,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000122,000000000080000100,2000,2000008661,4500008606,00010,SESS-000864,ATT-000088,BACK_IN_STOCK,2026-01-10,2026-03-31,2026-04-09,false,82,Repair vendor Springbok Hydraulic Service Centre .
RPR-000123,000000000080000100,3000,2000008662,4500008607,00010,SESS-000865,ATT-000089,EXPECTED_BACK,2026-06-19,2026-09-10,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000124,000000000080000101,2000,2000008663,4500008608,00010,SESS-000866,ATT-000090,RETURNED,2025-12-12,2026-03-17,2026-03-26,false,101,Repair vendor Kalahari Rotating Equipment Service.
RPR-000125,000000000080000102,1000,2000008664,4500008609,00010,SESS-000867,,IN_REPAIR,2026-08-22,2026-10-04,,false,,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000126,000000000080000103,2000,2000008665,4500008610,00010,SESS-000868,ATT-000091,BACK_IN_STOCK,2026-01-06,2026-02-11,2026-02-11,false,24,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000127,000000000080000104,3000,2000008666,4500008611,00010,SESS-000869,ATT-000092,OVERDUE,2026-04-21,2026-06-24,,true,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000128,000000000080000104,2000,,,,SESS-000870,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008612 while a repairable unit was on hand.
RPR-000129,000000000080000105,1000,2000008668,4500008613,00010,SESS-000871,ATT-000093,IN_REPAIR,2026-09-01,2026-10-18,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000130,000000000080000106,2000,2000008669,4500008614,00010,SESS-000872,ATT-000094,IN_REPAIR,2026-08-27,2026-11-30,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000131,000000000080000107,2000,2000008670,4500008615,00010,SESS-000873,ATT-000095,BACK_IN_STOCK,2026-03-16,2026-04-16,2026-04-21,false,29,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000132,000000000080000108,2000,2000008671,4500008616,00010,SESS-000874,ATT-000096,RETURNED,2026-04-06,2026-07-02,2026-07-24,false,103,Repair vendor Springbok Hydraulic Service Centre .
RPR-000133,000000000080000109,3000,2000008672,4500008617,00010,SESS-000875,ATT-000097,OVERDUE,2026-04-13,2026-07-10,,true,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000134,000000000080000110,2000,2000008673,4500008618,00010,SESS-000876,ATT-000098,IN_REPAIR,2026-08-08,2026-10-14,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000135,000000000080000111,1000,2000008674,4500008619,00010,SESS-000877,ATT-000099,OVERDUE,2026-04-18,2026-06-23,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000136,000000000080000112,4000,,,,SESS-000878,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008620 while a repairable unit was on hand.
RPR-000137,000000000080000112,1000,2000008676,4500008621,00010,SESS-000879,ATT-000100,IN_REPAIR,2026-08-21,2026-10-05,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000138,000000000080000113,3000,2000008677,4500008622,00010,SESS-000880,ATT-000101,BACK_IN_STOCK,2026-01-31,2026-04-25,2026-05-11,false,92,Repair vendor Orange River Hydraulic Service Cent.
RPR-000139,000000000080000114,2000,2000008678,4500008623,00010,SESS-000881,ATT-000102,IN_REPAIR,2026-07-22,2026-10-11,,false,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000140,000000000080000115,3000,2000008679,4500008624,00010,SESS-000882,ATT-000103,IN_REPAIR,2026-08-22,2026-09-29,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000141,000000000080000116,1000,2000008680,4500008625,00010,SESS-000883,ATT-000104,BACK_IN_STOCK,2025-12-01,2026-02-25,2026-03-19,false,102,Repair vendor Kalahari Rotating Equipment Service.
RPR-000142,000000000080000117,4000,,,,SESS-000884,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008626 while a repairable unit was on hand.
RPR-000143,000000000080000118,3000,2000008682,4500008627,00010,SESS-000885,ATT-000105,RETURNED,2025-12-17,2026-02-22,2026-03-13,false,77,Repair vendor Kalahari Rotating Equipment Service.
RPR-000144,000000000080000119,4000,2000008683,4500008628,00010,SESS-000886,ATT-000106,BACK_IN_STOCK,2025-12-31,2026-03-19,2026-04-10,false,92,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000145,000000000080000121,3000,2000008684,4500008629,00010,SESS-000887,ATT-000107,EXPECTED_BACK,2026-06-30,2026-09-13,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
